,Taxa,CmDW_g,Cml_cm,CmD_BI_mm,CmD_LI_mm,CmN.,Bcirc_cm,SDW_kg,CCirc_cm,mc,Yld_1,Yld,AIL,CmDW.V
158,UI10-00102-Zebrinus,1.267285139,37.63903921,0.466373153,0.40547177,0.726358428,0.119997518,0.99168584,0.748816689,0.00846938,1.339671883,1.592203018,-0.110065006,1.448668533
159,UI10-00104-Zwergzebra,-1.069950197,-25.29325948,-0.39852072,-0.442569631,-0.157789093,0.25654332,-0.962079942,-1.179825904,-0.046148466,-1.551810049,-1.8443297,-0.752983164,-1.383948722
160,UI10-00105-Arnins-Weeping,.,.,.,.,.,.,.,.,.,.,.,.,.
161,UI10-00106-transmorrisonensis,-0.728275717,-29.75295139,-0.296210821,-0.111663859,-0.56851702,-4.212124399,-1.133407469,-0.92381831,-0.021824535,-1.884777489,-2.240062244,-0.015096815,-0.699890396
162,UI10-00107-Illinois,1.453964884,41.70281293,0.651371447,0.272109388,1.095017615,9.915931075,0.986530227,0.757546558,0.012542959,1.526463247,1.814204969,-0.659257868,1.73199286
163,UI11-00009-Positano,-0.893104115,-23.38790335,-0.381017352,-0.372419229,-0.703517008,-1.636312808,-1.031807096,-1.240728177,-0.039460788,-1.67776695,-1.994029757,0.519879929,-1.178349271
164,UI11-00024-Flamingo,0.643253939,36.46032112,0.367953885,0.491782496,-0.132116626,1.780839424,0.158382021,-0.079601061,-0.008636121,0.232402132,0.276210452,1.66038731,0.864988859
165,UI12-00001-Zwergelefant,-1.346132374,-33.14297216,-0.392433528,-0.562362918,-0.338053934,-0.579254131,-1.2006491,-1.21317408,0.0080916,-2.029400293,-2.411946769,-0.755851101,-1.60372864
166,UI12-00002-Malepartus,0.94475445,28.37575458,0.451255231,0.452303901,0.073707391,-0.165374277,0.866089961,0.677988287,-0.035519613,1.145470265,1.361393961,0.866831488,1.248694403
167,UI12-00005,-1.386447736,-26.8655487,-0.473665444,-0.601136786,-0.845065988,-2.913204358,-0.944669489,-0.484302004,-0.033723376,-1.574057105,-1.870770375,1.028273904,-1.799257084
168,VA-2010-001-022,.,.,.,.,.,.,.,.,.,.,.,.,.
169,VA-2010-001-B40-e,.,.,.,.,.,.,.,.,.,.,.,.,.
