"","X.5","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"137",659,"PstI.TP1100764","Sobic.002G244901","CmN.94",2,63346042,"CmN","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.3226,1.928,NA,"",NA,NA,"",1,"Chr02",63346816,63351078,4263,"-",774,-5036,37953780,"Sobic.002G244901","Sobic.002G244901.1","Sobic.002G244901.1.p","","","","","","","","","","",NA,""
"141",770,"PstI.TP1128002","Sobic.002G205700","CmN.99",2,59726913,"CmN","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0246,14.63,NA,"",NA,NA,"",1,"Chr02",59726662,59729516,2855,"+",-251,-2603,37951499,"Sobic.002G205700","Sobic.002G205700.1","Sobic.002G205700.1.p","","","","","","","","","","",NA,""
"162",936,"PstI.TP1214992","Sobic.003G220266","CCirc_cm.19",3,55546977,"CCirc_cm","PS_Y(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1975,2.03,NA,"",NA,NA,"",1,"Chr03",55546852,55547957,1106,"+",-125,-980,37913792,"Sobic.003G220266","Sobic.003G220266.1","Sobic.003G220266.1.p","","","","","","","","","","",NA,""
"166",958,"PstI.TP1225179","Sobic.006G219400","CmN.114",6,56654494,"CmN","PS_Y(1)","C116+3293(1)","CMLM+SUPER(1)","","","","",0.07759,3.076,NA,"",NA,NA,"",1,"Chr06",56654817,56655429,613,"+",323,-935,37947185,"Sobic.006G219400","Sobic.006G219400.1","Sobic.006G219400.1.p","","","","","","","","","","",NA,""
"167",968,"PstI.TP1226186","Sobic.003G085100","CmN.115",3,7342289,"CmN","PS_Y(2)","C124+2560(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.3024,2.003,NA,"",NA,NA,"",1,"Chr03",7340557,7343742,3186,"+",-1732,-1453,37915652,"Sobic.003G085100","Sobic.003G085100.1","Sobic.003G085100.1.p","PF11805","PTHR36891,PTHR36891:SF1","","","","","","","","LOC_Os01g03660.3",NA,"MYB family transcription factor, putative, expressed"
"175",989,"PstI.TP1254872","Sobic.007G137750","CmN.122",7,56573064,"CmN","PS_Y(3)","C106+4202(1);C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(2)","","","","",0.07759,9.303,NA,"",NA,NA,"",2,"Chr07",56573347,56575999,2653,"+",283,-2935,37935690,"Sobic.007G137750","Sobic.007G137750.2","Sobic.007G137750.2.p","","","","","","","","","","",NA,""
"192",1043,"PstI.TP148994","Sobic.006G110600","Bcirc_cm.36",6,47930110,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.121,4.088,NA,"",NA,NA,"",1,"Chr06",47929464,47932464,3001,"+",-646,-2354,37948568,"Sobic.006G110600","Sobic.006G110600.1","Sobic.006G110600.1.p","","","","","","","","","","",NA,""
"193",1045,"PstI.TP148994","Sobic.006G110500","Bcirc_cm.36",6,47930110,"Bcirc_cm","PS_Y(1)","124+36088im(1)","","","FASTmrMLM(1)","","",0.121,4.088,NA,"",NA,NA,"",2,"Chr06",47927268,47929907,2640,"-",-2842,203,37947445,"Sobic.006G110500","Sobic.006G110500.2","Sobic.006G110500.2.p","PF00161","","","","","GO:0017148,GO:0030598","","","","LOC_Os11g35425.1",NA,"expressed protein"
"204",1104,"PstI.TP197493","Sobic.007G033700","CCirc_cm.23",7,2953287,"CCirc_cm","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.0342,3.428,NA,"",NA,NA,"",1,"Chr07",2950375,2954296,3922,"-",-2912,-1009,37936092,"Sobic.007G033700","Sobic.007G033700.1","Sobic.007G033700.1.p","","PTHR33207,PTHR33207:SF7","","","","","","","","LOC_Os09g08620.1",NA,"OsFBX309 - F-box domain containing protein, expressed"
"214",1197,"PstI.TP246674","Sobic.004G057500","CmN.141",4,4598220,"CmN","PS_Y(1)","C116+3293(1)","","","","","GLM(1)",0.07328,8.35,NA,"",NA,NA,"",1,"Chr04",4599194,4602709,3516,"+",974,-4489,37930926,"Sobic.004G057500","Sobic.004G057500.1","Sobic.004G057500.1.p","PF01486","PTHR11945,PTHR11945:SF206","","","","GO:0006355,GO:0005634,GO:0003700","","","","LOC_Os03g11614.1",NA,"OsMADS1 - MADS-box family gene with MIKCc type-box, expressed"
"222",1214,"PstI.TP292268","Sobic.005G037700","CmN.147",5,3450082,"CmN","PS_N(2);PS_Y(9)","C106+4202(3);C116+3293(4);C124+2560(4)","CMLM+SUPER(3);MLM+SUPER(3)","FarmCPU(2)","FASTmrMLM(1);mrMLM(1)","","GLM(1)",0.08871,65.99,NA,"",NA,NA,"",1,"Chr05",3448722,3450155,1434,"+",-1360,-73,37925229,"Sobic.005G037700","Sobic.005G037700.1","Sobic.005G037700.1.p","PF12937","PTHR20995,PTHR20995:SF26","","","","GO:0005515","","","","LOC_Os10g10420.1",NA,"OsFBX378 - F-box domain containing protein, expressed"
"223",1218,"PstI.TP292777","Sobic.007G213500","CmN.148",7,64227793,"CmN","PS_N(1);PS_Y(5)","C106+4202(1);C116+3293(2);C124+2560(3)","CMLM+SUPER(2);MLM+SUPER(3)","FarmCPU(1)","","","",0.05242,8.07,NA,"",NA,NA,"",1,"Chr07",64227573,64229696,2124,"+",-220,-1903,37937245,"Sobic.007G213500","Sobic.007G213500.1","Sobic.007G213500.1.p","","PTHR33698,PTHR33698:SF2","","","","","","","","LOC_Os08g39320.1",NA,"expressed protein"
"239",1273,"PstI.TP385678","Sobic.002G153200","CmN.159",2,45782629,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.3324,7.058,NA,"",NA,NA,"",2,"Chr02",45781720,45783353,1634,"+",-909,-724,37952888,"Sobic.002G153200","Sobic.002G153200.2","Sobic.002G153200.2.p","","","","","","","","","","",NA,""
"257",1364,"PstI.TP458366","Sobic.008G109200","CCirc_cm.34",8,50730872,"CCirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.07547,0.8657,NA,"",NA,NA,"",1,"Chr08",50729348,50731114,1767,"-",-1524,-242,37928449,"Sobic.008G109200","Sobic.008G109200.1","Sobic.008G109200.1.p","","","","","","","","","","",NA,""
"277",2165,"PstI.TP5429","Sobic.002G393266","CmD_BI_mm.54",2,74605041,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2011,0.7893,NA,"",NA,NA,"",1,"Chr02",74604422,74609738,5317,"+",-619,-4697,37952531,"Sobic.002G393266","Sobic.002G393266.1","Sobic.002G393266.1.p","","","","","","","","","","",NA,""
"278",2166,"PstI.TP543083","Sobic.007G068300","CmN.185",7,7619505,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1)","","","","GLM(1)",0.2048,6.796,NA,"",NA,NA,"",1,"Chr07",7617494,7620027,2534,"+",-2011,-522,37936316,"Sobic.007G068300","Sobic.007G068300.1","Sobic.007G068300.1.p","PF12142,PF12143,PF00264","PTHR11474,PTHR11474:SF16","","1.10.3.1","K00422","GO:0055114,GO:0004097,GO:0016491,GO:0008152","","","","LOC_Os01g58100.1",NA,"polyphenol oxidase, putative, expressed"
"287",2267,"PstI.TP58391","Sobic.007G220150","CmN.190",7,64850518,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.1085,0.5988,NA,"",NA,NA,"",1,"Chr07",64847295,64850360,3066,"+",-3223,158,37936791,"Sobic.007G220150","Sobic.007G220150.1","Sobic.007G220150.1.p","","","","","","","","","","",NA,""
"292",2286,"PstI.TP617554","Sobic.007G035900","CmN.197",7,3245920,"CmN","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.1048,13.51,NA,"",NA,NA,"",1,"Chr07",3245212,3246147,936,"-",-708,-227,37934538,"Sobic.007G035900","Sobic.007G035900.1","Sobic.007G035900.1.p","","PTHR34838,PTHR34838:SF3","","","","","","","","LOC_Os08g04640.1",NA,"expressed protein"
"311",2353,"PstI.TP710636","Sobic.006G089266","CmD_LI_mm.51",6,45894338,"CmD_LI_mm","PS_N(4)","C116+3293(1);C124+2560(3)","","FarmCPU(1)","ISIS EM-BLASSO(1);pKWmEB(1);pLARmEB(1)","","",0.194,49.65,NA,"",NA,NA,"",1,"Chr06",45890642,45893572,2931,"+",-3696,766,37948911,"Sobic.006G089266","Sobic.006G089266.1","Sobic.006G089266.1.p","","","","","","","","","","",NA,""
"327",2499,"PstI.TP753385","Sobic.008G149450","Yld_kg.31",8,58262070,"Yld","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1795,13.5,NA,"PstI.TP742466",5,70851257,"PstI.TP742466\5\70851257",1,"Chr08",58261135,58262523,1389,"-",-935,-453,37926449,"Sobic.008G149450","Sobic.008G149450.1","Sobic.008G149450.1.p","","","","","","","","","","",NA,""
"345",2607,"PstI.TP795667","Sobic.008G006400","Cml_cm.64",8,528900,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.06863,14.57,NA,"",NA,NA,"",1,"Chr08",527846,528916,1071,"+",-1054,-16,37928843,"Sobic.008G006400","Sobic.008G006400.1","Sobic.008G006400.1.p","","PTHR33127,PTHR33127:SF1","","","","","","","","LOC_Os01g66260.1",NA,"expressed protein"
"346",2608,"PstI.TP795667","Sobic.008G006500","Cml_cm.64",8,528900,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.06863,14.57,NA,"",NA,NA,"",1,"Chr08",529177,532714,3538,"+",277,-3814,37926690,"Sobic.008G006500","Sobic.008G006500.1","Sobic.008G006500.1.p","","PTHR33075,PTHR33075:SF4","","","","","","","","LOC_Os06g28300.1",NA,"zinc knuckle family protein, expressed"
"347",2615,"PstI.TP797446","Sobic.003G129600","CmN.221",3,12140520,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.1945,1.728,NA,"",NA,NA,"",1,"Chr03",12133834,12140553,6720,"-",-6686,-33,37917292,"Sobic.003G129600","Sobic.003G129600.1","Sobic.003G129600.1.p","","PTHR36893","","","","","","","","",NA,""
"352",2627,"PstI.TP815977","Sobic.008G100801","CmN.223",8,47698137,"CmN","PS_N(1)","C124+2560(1)","","","pKWmEB(1)","","",0.3306,3.642,NA,"",NA,NA,"",1,"Chr08",47697853,47699186,1334,"+",-284,-1049,37927612,"Sobic.008G100801","Sobic.008G100801.1","Sobic.008G100801.1.p","","","","","","","","","","",NA,""
"368",2711,"PstI.TP892749","Sobic.001G540250","CmN.235",1,80310797,"CmN","PS_N(1);PS_Y(1)","124+36088im(2)","","","FASTmrMLM(1);mrMLM(1)","","",0.1393,3.761,NA,"",NA,NA,"",1,"Chr01",80310404,80311199,796,"-",-393,-402,37939427,"Sobic.001G540250","Sobic.001G540250.1","Sobic.001G540250.1.p","","","","","","","","","","",NA,""
"371",2721,"PstI.TP901954","Sobic.009G035601","Cml_cm.69",9,3265857,"Cml_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.2998,3.652,NA,"",NA,NA,"",1,"Chr09",3265376,3266128,753,"-",-481,-271,37922115,"Sobic.009G035601","Sobic.009G035601.1","Sobic.009G035601.1.p","","","","","","","","","","",NA,""
"373",2727,"PstI.TP935926","Sobic.006G202401","Yld_kg.34",6,55352294,"Yld","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.3185,2.577,NA,"PstI.TP773172",3,55061314,"PstI.TP773172\3\55061314",1,"Chr06",55350744,55351639,896,"-",-1550,655,37947096,"Sobic.006G202401","Sobic.006G202401.1","Sobic.006G202401.1.p","","","","","","","","","","LOC_Os04g51140.2",NA,"E2F-related protein, putative, expressed"
"390",2796,"PstI.TP991117","Sobic.006G169400","Yld_kg.35",6,52632284,"Yld","PS_N(1)","124+36088im(1)","","","mrMLM(1)","","",0.0861,2.303,NA,"PstI.TP789647",3,69354547,"PstI.TP789647\3\69354547",1,"Chr06",52632465,52632919,455,"-",181,-635,37947346,"Sobic.006G169400","Sobic.006G169400.1","Sobic.006G169400.1.p","","","","","","","","","","LOC_Os10g37870.1",NA,"expressed protein"
"397",2822,"PstI.TP998275","Sobic.004G103100","CmN.242",4,9701801,"CmN","PS_Y(1)","124+36088im(1)","CMLM+SUPER(1)","","","","",0.2775,0.004526,NA,"",NA,NA,"",2,"Chr04",9701720,9702196,477,"-",-81,-395,37931967,"Sobic.004G103100","Sobic.004G103100.2","Sobic.004G103100.2.p","","","","","","","","","","",NA,""
