"","X.5","SNP","Gene","ID","Chromosome","Position","Trait.name","PS","Ind.SNP","SUPER","FarmCPU","mrMLM","rrBLUP","GLM","MAF.1.x","PVE.1.y","X","X.1","X.2","X.3","X.4","Gene.num","chr","start","end","width","strand","dis_start.positon","dis_positon.end","X.pacId","locusName","transcriptName","peptideName","Pfam","Panther","KOG","ec","KO","GO","Best.hit.arabi.name","arabi.symbol","arabi.defline","Best.hit.rice.name","rice.symbol","rice.defline"
"90",403,"NsiI.TP648509","Sobic.010G146000","Bcirc_cm.21",10,41353679,"Bcirc_cm","PS_N(1)","C124+2560(1)","","FarmCPU(1)","","","",0.05645,0.9279,NA,"",NA,NA,"",1,"Chr10",41350269,41353669,3401,"-",-3410,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",457,"NsiI.TP717578","Sobic.010G237900","CmD_BI_mm.16",10,58023898,"CmD_BI_mm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1813,1.277,NA,"",NA,NA,"",1,"Chr10",58017656,58025166,7511,"+",-6242,-1268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",497,"NsiI.TP764847","Sobic.010G108100","Cml_cm.25",10,10693125,"Cml_cm","PS_N(2)","124+36088im(2)","","","FASTmrMLM(1);pKWmEB(1)","","",0.0565,31.57,NA,"",NA,NA,"",1,"Chr10",10692185,10693666,1482,"+",-940,-541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",528,"NsiI.TP90957","Sobic.009G253600","CmN.80",9,58754094,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.05365,14.29,NA,"",NA,NA,"",1,"Chr09",58754868,58755845,978,"-",774,-1751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",529,"NsiI.TP90957","Sobic.009G253500","CmN.80",9,58754094,"CmN","PS_Y(2)","124+36088im(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.05365,14.29,NA,"",NA,NA,"",1,"Chr09",58752077,58753372,1296,"-",-2017,722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",567,"PstI.TP1044533","Sobic.010G009466","CmN.87",10,781197,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.4567,8.015,NA,"",NA,NA,"",1,"Chr10",780383,783170,2788,"+",-814,-1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",665,"PstI.TP110898","Sobic.010G104900","CmDW_g.23",10,9880843,"CmDW_g","PS_Y(2)","C106+4202(1);C124+2560(1)","","","ISIS EM-BLASSO(2)","","",0.0566,13.2,NA,"",NA,NA,"",2,"Chr10",9876675,9881144,4470,"-",-4168,-301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",813,"PstI.TP1155086","Sobic.009G142800","CmD_BI_mm.26",9,50004653,"CmD_BI_mm","PS_N(2)","C116+3293(1);C124+2560(1)","","FarmCPU(2)","","","",0.2371,17.98,NA,"",NA,NA,"",4,"Chr09",50005037,50008259,3223,"+",384,-3606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",889,"PstI.TP118716","Sobic.009G146400","Cml_cm.35",9,50325026,"Cml_cm","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1774,7.187,NA,"",NA,NA,"",1,"Chr09",50325863,50328782,2920,"-",837,-3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",890,"PstI.TP118716","Sobic.009G146250","Cml_cm.35",9,50325026,"Cml_cm","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.1774,7.187,NA,"",NA,NA,"",1,"Chr09",50320522,50325327,4806,"+",-4504,-301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",952,"PstI.TP1218439","Sobic.009G175900","CmN.113",9,53101439,"CmN","PS_Y(1)","C106+4202(1)","","","FASTmrMLM(1)","","",0.1462,8.965,NA,"",NA,NA,"",1,"Chr09",53098542,53102549,4008,"-",-2897,-1110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",969,"PstI.TP123530","Sobic.010G085000","CmN.116",10,7243969,"CmN","PS_Y(2)","C116+3293(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.06466,6.632,NA,"",NA,NA,"",1,"Chr10",7243613,7245489,1877,"-",-356,-1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",1010,"PstI.TP1272828","Sobic.010G251000","CmN.124",10,59027538,"CmN","PS_N(1)","C106+4202(1)","","","pKWmEB(1)","","",0.3019,11.23,NA,"",NA,NA,"",1,"Chr10",59020575,59027965,7391,"+",-6963,-427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",1015,"PstI.TP1294713","Sobic.010G054400","CmN.125",10,4269426,"CmN","PS_Y(2)","124+36088im(2)","MLM+SUPER(1)","","","","GLM(1)",0.1777,10.6,NA,"",NA,NA,"",1,"Chr10",4268508,4272050,3543,"+",-918,-2624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",1018,"PstI.TP134129","Sobic.009G158000","Bcirc_cm.34",9,51572610,"Bcirc_cm","PS_Y(1)","C124+2560(1)","","","mrMLM(1)","","",0.0205,0,NA,"",NA,NA,"",1,"Chr09",51568670,51573600,4931,"+",-3940,-990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",1039,"PstI.TP14229","Sobic.009G240400","CmD_BI_mm.31",9,57790410,"CmD_BI_mm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.168,5.638,NA,"",NA,NA,"",1,"Chr09",57788800,57789692,893,"+",-1610,718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197",1086,"PstI.TP15780","Sobic.009G218000","Cml_cm.39",9,56211895,"Cml_cm","PS_N(2);PS_Y(3)","C116+3293(2);C124+2560(3)","","","ISIS EM-BLASSO(2);mrMLM(1);pKWmEB(1);pLARmEB(1)","","",0.1842,10.71,NA,"",NA,NA,"",1,"Chr09",56211082,56212337,1256,"+",-813,-442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198",1091,"PstI.TP160694","Sobic.009G210600","CmDW_g.32",9,55685356,"CmDW_g","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.05884,1.722,NA,"",NA,NA,"",1,"Chr09",55686020,55691500,5481,"+",664,-6144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",1119,"PstI.TP226277","Sobic.010G276700","CmDW_g.34",10,60979471,"CmDW_g","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,3.728,NA,"",NA,NA,"",1,"Chr10",60979154,60983631,4478,"-",-317,-4160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",1122,"PstI.TP226277","Sobic.010G276600","CmDW_g.34",10,60979471,"CmDW_g","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.0369,3.728,NA,"",NA,NA,"",1,"Chr10",60972238,60979018,6781,"+",-7233,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",1256,"PstI.TP371473","Sobic.010G262300","CmD_BI_mm.37",10,59883760,"CmD_BI_mm","PS_Y(1)","C124+2560(1)","","","mrMLM(1)","","",0.0164,0,NA,"",NA,NA,"",1,"Chr10",59880031,59884762,4732,"-",-3729,-1002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",1274,"PstI.TP387329","Sobic.009G214600","CCirc_cm.29",9,55961556,"CCirc_cm","PS_Y(1)","C124+2560(1)","CMLM+SUPER(1)","","","","",0.1855,13.41,NA,"",NA,NA,"",1,"Chr09",55959390,55962236,2847,"+",-2166,-680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",2029,"PstI.TP485114","Sobic.009G229700","Cml_cm.50",9,57032697,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.209,15.39,NA,"",NA,NA,"",1,"Chr09",57032871,57036097,3227,"+",174,-3400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",2030,"PstI.TP485114","Sobic.009G229600","Cml_cm.50",9,57032697,"Cml_cm","PS_Y(1)","124+36088im(1)","","","mrMLM(1)","","",0.209,15.39,NA,"",NA,NA,"",1,"Chr09",57023498,57032493,8996,"-",-9199,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",2088,"PstI.TP510424","Sobic.010G083050","CmD_BI_mm.53",10,7091437,"CmD_BI_mm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.1293,10.06,NA,"",NA,NA,"",1,"Chr10",7091012,7092894,1883,"-",-425,-1457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",2095,"PstI.TP53013","Sobic.009G259900","CmN.180",9,59327122,"CmN","PS_Y(3)","124+36088im(3)","CMLM+SUPER(1);MLM+SUPER(1)","","","","GLM(1)",0.07481,8.593,NA,"",NA,NA,"",1,"Chr09",59321024,59328186,7163,"+",-6098,-1064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",2163,"PstI.TP541255","Sobic.010G192600","CmN.184",10,53477961,"CmN","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.05935,1.511,NA,"",NA,NA,"",2,"Chr10",53477729,53481217,3489,"+",-232,-3256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280",2169,"PstI.TP548121","Sobic.009G247100","Bcirc_cm.55",9,58253929,"Bcirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.06132,0.1839,NA,"",NA,NA,"",1,"Chr09",58252379,58255448,3070,"+",-1550,-1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289",2281,"PstI.TP604956","Sobic.010G070100","CmN.194",10,5628757,"CmN","PS_N(2)","C116+3293(2)","","","ISIS EM-BLASSO(1);pKWmEB(1)","","",0.1897,0,NA,"",NA,NA,"",1,"Chr10",5627081,5630306,3226,"-",-1676,-1549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"297",2298,"PstI.TP651715","Sobic.010G250400","CmD_LI_mm.49",10,58956886,"CmD_LI_mm","PS_Y(1)","C106+4202(1)","","","pKWmEB(1)","","",0.2547,6.281,NA,"",NA,NA,"",1,"Chr10",58950659,58957087,6429,"+",-6227,-201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300",2307,"PstI.TP65527","Sobic.010G265900","Bcirc_cm.58",10,60139620,"Bcirc_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.2358,20.78,NA,"",NA,NA,"",1,"Chr10",60136399,60140204,3806,"-",-3221,-584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"305",2314,"PstI.TP69959","Sobic.009G238500","CmN.203",9,57639787,"CmN","PS_Y(1)","124+36088im(1)","MLM+SUPER(1)","","","","",0.06947,0.3264,NA,"",NA,NA,"",1,"Chr09",57639492,57641346,1855,"-",-295,-1559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"320",2446,"PstI.TP738082","Sobic.010G078600","Cml_cm.57",10,6556740,"Cml_cm","PS_Y(1)","C124+2560(1)","","","FASTmrEMMA(1)","","",0.0121,7.676,NA,"",NA,NA,"",1,"Chr10",6555565,6558034,2470,"+",-1175,-1294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"325",2496,"PstI.TP751721","Sobic.009G148000","Cml_cm.60",9,50513395,"Cml_cm","PS_N(1)","C116+3293(1)","","FarmCPU(1)","","","",0.1595,7.406,NA,"",NA,NA,"",1,"Chr09",50511733,50514791,3059,"-",-1662,-1396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"334",2517,"PstI.TP771967","Sobic.010G182800","Cml_cm.62",10,52242723,"Cml_cm","PS_N(1)","C106+4202(1)","","FarmCPU(1)","","","",0.2311,2.157,NA,"",NA,NA,"",1,"Chr10",52236033,52242284,6252,"-",-6690,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",2559,"PstI.TP775752","Sobic.010G146000","CmN.217",10,41350986,"CmN","PS_Y(2)","C106+4202(2)","CMLM+SUPER(1);MLM+SUPER(1)","","","","",0.08019,2.748,NA,"",NA,NA,"",1,"Chr10",41350269,41353669,3401,"-",-717,-2683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339",2560,"PstI.TP77980","Sobic.010G106900","CmN.218",10,10346907,"CmN","PS_Y(1)","124+36088im(1)","","","","","GLM(1)",0.317,8.152,NA,"",NA,NA,"",1,"Chr10",10334516,10347396,12881,"+",-12391,-489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"353",2635,"PstI.TP828064","Sobic.009G202801","CmN.224",9,55177255,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.08962,6.695,NA,"",NA,NA,"",1,"Chr09",55172523,55178621,6099,"-",-4732,-1366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",2691,"PstI.TP866959","Sobic.009G145500","CmN.231",9,50250813,"CmN","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0645,9.524,NA,"",NA,NA,"",1,"Chr09",50248696,50250327,1632,"-",-2117,486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364",2692,"PstI.TP866959","Sobic.009G145600","CmN.231",9,50250813,"CmN","PS_N(1)","124+36088im(1)","","","ISIS EM-BLASSO(1)","","",0.0645,9.524,NA,"",NA,NA,"",2,"Chr09",50251344,50255195,3852,"-",531,-4382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386",2784,"PstI.TP976305","Sobic.009G238100","Bcirc_cm.79",9,57621267,"Bcirc_cm","PS_N(1)","124+36088im(1)","","FarmCPU(1)","","","",0.1191,5.558,NA,"",NA,NA,"",2,"Chr09",57616677,57620928,4252,"+",-4590,339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"392",2798,"PstI.TP994751","Sobic.010G268400","CmN.240",10,60309696,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.07547,5.397,NA,"",NA,NA,"",1,"Chr10",60307573,60310425,2853,"+",-2123,-729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"393",2799,"PstI.TP994751","Sobic.010G268500","CmN.240",10,60309696,"CmN","PS_Y(1)","C106+4202(1)","MLM+SUPER(1)","","","","",0.07547,5.397,NA,"",NA,NA,"",1,"Chr10",60310429,60313483,3055,"-",733,-3787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",2810,"PstI.TP995394","Sobic.009G149500","CmN.241",9,50625938,"CmN","PS_N(1)","C124+2560(1)","","","pKWmEB(1)","","",0.496,3.823,NA,"",NA,NA,"",2,"Chr09",50626744,50630476,3733,"-",806,-4538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"396",2812,"PstI.TP995394","Sobic.009G149400","CmN.241",9,50625938,"CmN","PS_N(1)","C124+2560(1)","","","pKWmEB(1)","","",0.496,3.823,NA,"",NA,NA,"",1,"Chr09",50622315,50626169,3855,"-",-3623,-231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
