"","SNP","Gene","chr","start","end","width","strand"
"45","PstI.TP150197","Sobic.001G258200.1","Chr01",30649854,30655094,5241,"+"
"46","PstI.TP161086","Sobic.008G185200.2","Chr08",61950585,61955905,5321,"+"
"47","PstI.TP161086","Sobic.008G185200.3","Chr08",61950585,61955905,5321,"+"
"48","PstI.TP188641","Sobic.003G071600.1","Chr03",6087430,6092352,4923,"+"
"49","PstI.TP298201","Sobic.006G009200.1","Chr06",1374025,1379411,5387,"-"
"50","PstI.TP326891","Sobic.001G467200.1","Chr01",74033170,74037753,4584,"+"
"51","PstI.TP326891","Sobic.001G467200.2","Chr01",74033170,74037753,4584,"+"
"52","PstI.TP426528","Sobic.002G401700.1","Chr02",75226896,75229771,2876,"+"
"53","PstI.TP434866","Sobic.006G022200.1","Chr06",3913531,3923044,9514,"+"
"54","PstI.TP457393","Sobic.001G313800.1","Chr01",60096593,60097417,825,"+"
"55","PstI.TP476886","Sobic.002G175400.1","Chr02",55392886,55396332,3447,"+"
"56","PstI.TP504809","Sobic.004G063900.1","Chr04",5155109,5156644,1536,"+"
"57","PstI.TP548121","Sobic.009G247100.1","Chr09",58252379,58255448,3070,"+"
"58","PstI.TP648736","Sobic.004G254800.3","Chr04",60108846,60115112,6267,"-"
"59","PstI.TP648736","Sobic.004G254800.4","Chr04",60108846,60115112,6267,"-"
"60","PstI.TP65527","Sobic.010G265900.1","Chr10",60136399,60140204,3806,"-"
"61","PstI.TP663427","Sobic.001G425300.1","Chr01",70526724,70529971,3248,"-"
"62","PstI.TP697156","Sobic.004G105100.1","Chr04",9913834,9917972,4139,"+"
"63","PstI.TP710636","Sobic.006G089266.1","Chr06",45890642,45893572,2931,"+"
"64","PstI.TP710636","Sobic.006G089300.2","Chr06",45893609,45897184,3576,"-"
"65","PstI.TP710636","Sobic.006G089300.1","Chr06",45893609,45897801,4193,"-"
"66","PstI.TP710636","Sobic.006G089300.3","Chr06",45893609,45897801,4193,"-"
"67","PstI.TP710636","Sobic.006G089266.1","Chr06",45890642,45893572,2931,"+"
"68","PstI.TP710636","Sobic.006G089300.2","Chr06",45893609,45897184,3576,"-"
"69","PstI.TP710636","Sobic.006G089300.1","Chr06",45893609,45897801,4193,"-"
"70","PstI.TP710636","Sobic.006G089300.3","Chr06",45893609,45897801,4193,"-"
"71","PstI.TP714069","Sobic.004G281800.1","Chr04",62405460,62410611,5152,"+"
"72","PstI.TP744556","Sobic.001G491200.1","Chr01",76097084,76103065,5982,"-"
"73","PstI.TP75301","Sobic.006G077000.2","Chr06",44312344,44314731,2388,"+"
"74","PstI.TP754866","Sobic.001G407900.2","Chr01",69199763,69205422,5660,"-"
"75","PstI.TP770722","Sobic.001G374800.1","Chr01",66343883,66347659,3777,"+"
"76","PstI.TP770722","Sobic.001G374900.1","Chr01",66348484,66349434,951,"+"
"77","PstI.TP770722","Sobic.001G374800.1","Chr01",66343883,66347659,3777,"+"
"78","PstI.TP770722","Sobic.001G374900.1","Chr01",66348484,66349434,951,"+"
"79","PstI.TP774963","Sobic.006G013300.1","Chr06",1909956,1914230,4275,"+"
"80","PstI.TP788586","Sobic.006G231266.1","Chr06",57439537,57442937,3401,"+"
"81","PstI.TP788586","Sobic.006G231400.1","Chr06",57443138,57445069,1932,"+"
"82","PstI.TP788586","Sobic.006G231266.1","Chr06",57439537,57442937,3401,"+"
"83","PstI.TP788586","Sobic.006G231400.1","Chr06",57443138,57445069,1932,"+"
"84","PstI.TP790069","Sobic.002G007400.1","Chr02",698947,700577,1631,"-"
"85","PstI.TP838455","Sobic.002G261600.1","Chr02",64673010,64686425,13416,"-"
"86","PstI.TP838455","Sobic.002G261600.2","Chr02",64673010,64686425,13416,"-"
"87","PstI.TP838455","Sobic.002G261600.5","Chr02",64674724,64686425,11702,"-"
"88","PstI.TP838455","Sobic.002G261600.3","Chr02",64678962,64686425,7464,"-"
"89","PstI.TP852023","Sobic.004G162200.1","Chr04",51111914,51121956,10043,"-"
"90","PstI.TP940999","Sobic.003G346200.8","Chr03",66707730,66712581,4852,"-"
"91","PstI.TP940999","Sobic.003G346200.1","Chr03",66707730,66712585,4856,"-"
"92","PstI.TP940999","Sobic.003G346200.2","Chr03",66707730,66713706,5977,"-"
"93","PstI.TP940999","Sobic.003G346200.4","Chr03",66707730,66713724,5995,"-"
"94","PstI.TP940999","Sobic.003G346200.6","Chr03",66707730,66713729,6000,"-"
"95","PstI.TP940999","Sobic.003G346200.9","Chr03",66707730,66713733,6004,"-"
"96","PstI.TP940999","Sobic.003G346200.10","Chr03",66707730,66713758,6029,"-"
"97","PstI.TP940999","Sobic.003G346200.5","Chr03",66707730,66713904,6175,"-"
"98","PstI.TP940999","Sobic.003G346200.3","Chr03",66707730,66713951,6222,"-"
"99","PstI.TP940999","Sobic.003G346200.7","Chr03",66707730,66714083,6354,"-"
"100","PstI.TP969142","Sobic.001G425800.2","Chr01",70551663,70557840,6178,"-"
"101","PstI.TP969142","Sobic.001G425800.1","Chr01",70551947,70557834,5888,"-"
"102","PstI.TP969142","Sobic.001G425800.3","Chr01",70551947,70557834,5888,"-"
"103","PstI.TP969142","Sobic.001G425900.1","Chr01",70559102,70564400,5299,"-"
"104","PstI.TP969142","Sobic.001G425800.2","Chr01",70551663,70557840,6178,"-"
"105","PstI.TP969142","Sobic.001G425800.1","Chr01",70551947,70557834,5888,"-"
"106","PstI.TP969142","Sobic.001G425800.3","Chr01",70551947,70557834,5888,"-"
"107","PstI.TP969142","Sobic.001G425900.1","Chr01",70559102,70564400,5299,"-"
"108","PstI.TP976305","Sobic.009G238100.2","Chr09",57616677,57620928,4252,"+"
"109","PstI.TP980214","Sobic.001G135500.1","Chr01",10677948,10687148,9201,"+"
"110","PstI.TP980214","Sobic.001G135600.1","Chr01",10687166,10691438,4273,"-"
"111","PstI.TP980214","Sobic.001G135500.1","Chr01",10677948,10687148,9201,"+"
"112","PstI.TP980214","Sobic.001G135600.1","Chr01",10687166,10691438,4273,"-"
"113","PstI.TP995173","Sobic.002G333400.1","Chr02",70168822,70173890,5069,"-"
"114","GFSSContig18221_1150","Sobic.007G053100.1","Chr07",5393317,5400889,7573,"+"
"115","NsiI.TP361622","Sobic.001G413100.1","Chr01",69531328,69535760,4433,"-"
"116","NsiI.TP390222","Sobic.004G237000.1","Chr04",58488864,58490438,1575,"+"
"117","NsiI.TP471487","Sobic.010G188500.1","Chr10",52896453,52900041,3589,"+"
"118","NsiI.TP750593","Sobic.004G266300.2","Chr04",61075033,61085127,10095,"-"
"119","NsiI.TP750593","Sobic.004G266300.1","Chr04",61075045,61085127,10083,"-"
"120","NsiI.TP750593","Sobic.004G266300.3","Chr04",61075777,61085127,9351,"-"
"121","NsiI.TP762935","Sobic.006G018800.1","Chr06",3178404,3183167,4764,"+"
"122","PstI.TP1082141","Sobic.002G187500.1","Chr02",57174223,57176527,2305,"+"
"123","PstI.TP110898","Sobic.010G104900.1","Chr10",9875884,9881144,5261,"-"
"124","PstI.TP110898","Sobic.010G104900.3","Chr10",9875884,9881144,5261,"-"
"125","PstI.TP110898","Sobic.010G104900.4","Chr10",9875884,9881144,5261,"-"
"126","PstI.TP110898","Sobic.010G104900.2","Chr10",9876675,9881144,4470,"-"
"127","PstI.TP1145813","Sobic.005G206500.1","Chr05",69260461,69264619,4159,"-"
"128","PstI.TP1158211","Sobic.003G281200.1","Chr03",61615956,61622310,6355,"+"
"129","PstI.TP1158211","Sobic.003G281300.1","Chr03",61620333,61624955,4623,"+"
"130","PstI.TP1158211","Sobic.003G281200.1","Chr03",61615956,61622310,6355,"+"
"131","PstI.TP1158211","Sobic.003G281300.1","Chr03",61620333,61624955,4623,"+"
"132","PstI.TP1214992","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+"
"133","PstI.TP1214992","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+"
"134","PstI.TP1214992","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+"
"135","PstI.TP1214992","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+"
"136","PstI.TP1214992","Sobic.003G220200.1","Chr03",55538595,55546807,8213,"+"
"137","PstI.TP1214992","Sobic.003G220200.2","Chr03",55538595,55546807,8213,"+"
"138","PstI.TP1214992","Sobic.003G220266.1","Chr03",55546852,55547957,1106,"+"
"139","PstI.TP1214992","Sobic.003G220266.2","Chr03",55546852,55547957,1106,"+"
"140","PstI.TP1268585","Sobic.001G040200.1","Chr01",2987435,2989263,1829,"-"
"141","PstI.TP197493","Sobic.007G033700.1","Chr07",2950375,2954296,3922,"-"
"142","PstI.TP258621","Sobic.001G470800.1","Chr01",74358530,74362956,4427,"+"
"143","PstI.TP292268","Sobic.005G037700.1","Chr05",3448722,3450155,1434,"+"
"144","PstI.TP308053","Sobic.001G107500.1","Chr01",8331250,8334555,3306,"-"
"145","PstI.TP315072","Sobic.008G034000.2","Chr08",3138888,3140962,2075,"-"
"146","PstI.TP387329","Sobic.009G214600.1","Chr09",55959390,55962236,2847,"+"
"147","PstI.TP392482","Sobic.001G196000.1","Chr01",17610486,17622072,11587,"+"
"148","PstI.TP393536","Sobic.001G378200.1","Chr01",66631252,66633147,1896,"-"
"149","PstI.TP457393","Sobic.001G313800.1","Chr01",60096593,60097417,825,"+"
"150","PstI.TP458366","Sobic.008G109200.1","Chr08",50729348,50731114,1767,"-"
"151","PstI.TP537292","Sobic.001G514400.1","Chr01",78160422,78162432,2011,"+"
"152","PstI.TP537292","Sobic.001G514500.3","Chr01",78162706,78168567,5862,"-"
"153","PstI.TP537292","Sobic.001G514500.6","Chr01",78162706,78168571,5866,"-"
"154","PstI.TP537292","Sobic.001G514500.5","Chr01",78162706,78168572,5867,"-"
"155","PstI.TP537292","Sobic.001G514500.10","Chr01",78162706,78168589,5884,"-"
"156","PstI.TP537292","Sobic.001G514500.2","Chr01",78162706,78168595,5890,"-"
"157","PstI.TP537292","Sobic.001G514500.4","Chr01",78162706,78168595,5890,"-"
"158","PstI.TP537292","Sobic.001G514500.8","Chr01",78162706,78168598,5893,"-"
"159","PstI.TP537292","Sobic.001G514500.9","Chr01",78162706,78168598,5893,"-"
"160","PstI.TP537292","Sobic.001G514500.7","Chr01",78162706,78168624,5919,"-"
"161","PstI.TP537292","Sobic.001G514400.1","Chr01",78160422,78162432,2011,"+"
"162","PstI.TP537292","Sobic.001G514500.3","Chr01",78162706,78168567,5862,"-"
"163","PstI.TP537292","Sobic.001G514500.6","Chr01",78162706,78168571,5866,"-"
"164","PstI.TP537292","Sobic.001G514500.5","Chr01",78162706,78168572,5867,"-"
"165","PstI.TP537292","Sobic.001G514500.10","Chr01",78162706,78168589,5884,"-"
"166","PstI.TP537292","Sobic.001G514500.2","Chr01",78162706,78168595,5890,"-"
"167","PstI.TP537292","Sobic.001G514500.4","Chr01",78162706,78168595,5890,"-"
"168","PstI.TP537292","Sobic.001G514500.8","Chr01",78162706,78168598,5893,"-"
"169","PstI.TP537292","Sobic.001G514500.9","Chr01",78162706,78168598,5893,"-"
"170","PstI.TP537292","Sobic.001G514500.7","Chr01",78162706,78168624,5919,"-"
"171","PstI.TP55941","Sobic.006G150100.1","Chr06",51145123,51147729,2607,"+"
"172","PstI.TP584552","Sobic.002G200900.1","Chr02",59072224,59080793,8570,"+"
"173","PstI.TP584552","Sobic.002G200900.2","Chr02",59072224,59081085,8862,"+"
"174","PstI.TP651320","Sobic.005G111000.1","Chr05",35459895,35482244,22350,"-"
"175","PstI.TP651320","Sobic.005G111000.2","Chr05",35464510,35482244,17735,"-"
"176","PstI.TP704244","Sobic.003G188100.2","Chr03",50686166,50690141,3976,"+"
"177","PstI.TP704244","Sobic.003G188100.3","Chr03",50686717,50690141,3425,"+"
"178","PstI.TP770895","Sobic.001G161200.1","Chr01",13263107,13265447,2341,"+"
"179","PstI.TP770895","Sobic.001G161200.2","Chr01",13263107,13265447,2341,"+"
"180","PstI.TP773172","Sobic.003G215600.1","Chr03",55053821,55062277,8457,"-"
"181","PstI.TP814417","Sobic.007G211000.3","Chr07",63992583,63995898,3316,"-"
"182","PstI.TP814417","Sobic.007G211000.4","Chr07",63992584,63995898,3315,"-"
"183","PstI.TP814417","Sobic.007G211000.5","Chr07",63992606,63995903,3298,"-"
"184","PstI.TP814417","Sobic.007G211000.1","Chr07",63992668,63995898,3231,"-"
"185","PstI.TP898259","Sobic.001G530700.1","Chr01",79440237,79444075,3839,"-"
"186","PstI.TP942675","Sobic.003G319800.1","Chr03",64752392,64755562,3171,"-"
"187","PstI.TP942675","Sobic.003G319800.2","Chr03",64752392,64755562,3171,"-"
"188","PstI.TP942675","Sobic.003G319800.3","Chr03",64753262,64755562,2301,"-"
"189","PstI.TP982503","Sobic.004G207200.1","Chr04",55759003,55765496,6494,"+"
"190","PstI.TP993272","Sobic.002G194700.1","Chr02",58285421,58290186,4766,"+"
"191","NsiI.TP128897","Sobic.006G213300.1","Chr06",56185793,56191223,5431,"-"
"192","NsiI.TP128897","Sobic.006G213300.2","Chr06",56185793,56191223,5431,"-"
"193","NsiI.TP438910","Sobic.004G344200.1","Chr04",67442362,67451137,8776,"+"
"194","NsiI.TP438910","Sobic.004G344200.3","Chr04",67442362,67451589,9228,"+"
"195","NsiI.TP438910","Sobic.004G344200.2","Chr04",67442362,67451659,9298,"+"
"196","NsiI.TP51047","Sobic.002G110500.1","Chr02",13452892,13457488,4597,"+"
"197","NsiI.TP575629","Sobic.004G124700.1","Chr04",14231927,14235182,3256,"+"
"198","NsiI.TP575629","Sobic.004G124800.1","Chr04",14235238,14239251,4014,"-"
"199","NsiI.TP575629","Sobic.004G124700.1","Chr04",14231927,14235182,3256,"+"
"200","NsiI.TP575629","Sobic.004G124800.1","Chr04",14235238,14239251,4014,"-"
"201","NsiI.TP648509","Sobic.010G146000.1","Chr10",41350269,41353669,3401,"-"
"202","NsiI.TP701217","Sobic.008G169400.1","Chr08",60367853,60373737,5885,"-"
"203","NsiI.TP713636","Sobic.005G148100.2","Chr05",61641003,61642030,1028,"-"
"204","NsiI.TP717578","Sobic.010G237900.1","Chr10",58017656,58025166,7511,"+"
"205","PstI.TP1012416","Sobic.002G204600.1","Chr02",59609992,59611962,1971,"+"
"206","PstI.TP1064534","Sobic.003G021800.2","Chr03",1869800,1871472,1673,"+"
"207","PstI.TP108652","Sobic.002G121300.1","Chr02",15956504,15964911,8408,"+"
"208","PstI.TP10996","Sobic.006G239000.1","Chr06",57969070,57983024,13955,"+"
"209","PstI.TP1132955","Sobic.004G297300.1","Chr04",63678188,63683509,5322,"-"
"210","PstI.TP1132955","Sobic.004G297400.3","Chr04",63683622,63687079,3458,"-"
"211","PstI.TP1132955","Sobic.004G297400.4","Chr04",63683622,63687079,3458,"-"
"212","PstI.TP1132955","Sobic.004G297400.7","Chr04",63683622,63687079,3458,"-"
"213","PstI.TP1132955","Sobic.004G297400.2","Chr04",63683622,63687275,3654,"-"
"214","PstI.TP1132955","Sobic.004G297400.5","Chr04",63683622,63687275,3654,"-"
"215","PstI.TP1132955","Sobic.004G297400.1","Chr04",63683851,63687124,3274,"-"
"216","PstI.TP1132955","Sobic.004G297400.6","Chr04",63683856,63687274,3419,"-"
"217","PstI.TP1132955","Sobic.004G297300.1","Chr04",63678188,63683509,5322,"-"
"218","PstI.TP1132955","Sobic.004G297400.3","Chr04",63683622,63687079,3458,"-"
"219","PstI.TP1132955","Sobic.004G297400.4","Chr04",63683622,63687079,3458,"-"
"220","PstI.TP1132955","Sobic.004G297400.7","Chr04",63683622,63687079,3458,"-"
"221","PstI.TP1132955","Sobic.004G297400.2","Chr04",63683622,63687275,3654,"-"
"222","PstI.TP1132955","Sobic.004G297400.5","Chr04",63683622,63687275,3654,"-"
"223","PstI.TP1132955","Sobic.004G297400.1","Chr04",63683851,63687124,3274,"-"
"224","PstI.TP1132955","Sobic.004G297400.6","Chr04",63683856,63687274,3419,"-"
"225","PstI.TP1155086","Sobic.009G142800.4","Chr09",50005037,50008259,3223,"+"
"226","PstI.TP1155086","Sobic.009G142800.3","Chr09",50005042,50008255,3214,"+"
"227","PstI.TP1155086","Sobic.009G142800.5","Chr09",50005632,50008255,2624,"+"
"228","PstI.TP137261","Sobic.001G072900.2","Chr01",5539713,5545111,5399,"+"
"229","PstI.TP14229","Sobic.009G240400.1","Chr09",57788800,57789692,893,"+"
"230","PstI.TP188641","Sobic.003G071600.1","Chr03",6087430,6092352,4923,"+"
"231","PstI.TP197570","Sobic.005G118400.1","Chr05",51808626,51820846,12221,"-"
"232","PstI.TP346744","Sobic.003G195900.1","Chr03",51991307,52014851,23545,"-"
"233","PstI.TP371473","Sobic.010G262300.1","Chr10",59880031,59884762,4732,"-"
"234","PstI.TP376790","Sobic.001G254700.1","Chr01",28682631,28683824,1194,"+"
"235","PstI.TP376790","Sobic.001G254700.2","Chr01",28682631,28683824,1194,"+"
"236","PstI.TP384804","Sobic.002G265166.1","Chr02",65028763,65029198,436,"-"
"237","PstI.TP39944","Sobic.004G041100.1","Chr04",3371442,3376139,4698,"-"
"238","PstI.TP434866","Sobic.006G022200.1","Chr06",3913531,3923044,9514,"+"
"239","PstI.TP446073","Sobic.007G085300.1","Chr07",10754655,10756113,1459,"-"
"240","PstI.TP452173","Sobic.002G098500.2","Chr02",10523637,10527896,4260,"-"
"241","PstI.TP454285","Sobic.002G242200.1","Chr02",63150942,63153974,3033,"-"
"242","PstI.TP459121","Sobic.001G514400.1","Chr01",78160422,78162432,2011,"+"
"243","PstI.TP459121","Sobic.001G514500.3","Chr01",78162706,78168567,5862,"-"
"244","PstI.TP459121","Sobic.001G514500.6","Chr01",78162706,78168571,5866,"-"
"245","PstI.TP459121","Sobic.001G514500.5","Chr01",78162706,78168572,5867,"-"
"246","PstI.TP459121","Sobic.001G514500.10","Chr01",78162706,78168589,5884,"-"
"247","PstI.TP459121","Sobic.001G514500.2","Chr01",78162706,78168595,5890,"-"
"248","PstI.TP459121","Sobic.001G514500.4","Chr01",78162706,78168595,5890,"-"
"249","PstI.TP459121","Sobic.001G514500.8","Chr01",78162706,78168598,5893,"-"
"250","PstI.TP459121","Sobic.001G514500.9","Chr01",78162706,78168598,5893,"-"
"251","PstI.TP459121","Sobic.001G514500.7","Chr01",78162706,78168624,5919,"-"
"252","PstI.TP459121","Sobic.001G514400.1","Chr01",78160422,78162432,2011,"+"
"253","PstI.TP459121","Sobic.001G514500.3","Chr01",78162706,78168567,5862,"-"
"254","PstI.TP459121","Sobic.001G514500.6","Chr01",78162706,78168571,5866,"-"
"255","PstI.TP459121","Sobic.001G514500.5","Chr01",78162706,78168572,5867,"-"
"256","PstI.TP459121","Sobic.001G514500.10","Chr01",78162706,78168589,5884,"-"
"257","PstI.TP459121","Sobic.001G514500.2","Chr01",78162706,78168595,5890,"-"
"258","PstI.TP459121","Sobic.001G514500.4","Chr01",78162706,78168595,5890,"-"
"259","PstI.TP459121","Sobic.001G514500.8","Chr01",78162706,78168598,5893,"-"
"260","PstI.TP459121","Sobic.001G514500.9","Chr01",78162706,78168598,5893,"-"
"261","PstI.TP459121","Sobic.001G514500.7","Chr01",78162706,78168624,5919,"-"
"262","PstI.TP474390","Sobic.007G092100.1","Chr07",15563546,15569734,6189,"-"
"263","PstI.TP476886","Sobic.002G175400.1","Chr02",55392886,55396332,3447,"+"
"264","PstI.TP478050","Sobic.003G304200.1","Chr03",63458669,63463023,4355,"-"
"265","PstI.TP510424","Sobic.010G083050.1","Chr10",7091012,7092894,1883,"-"
"266","PstI.TP5429","Sobic.002G393266.1","Chr02",74604422,74609738,5317,"+"
"267","PstI.TP57846","Sobic.004G051900.1","Chr04",4197276,4203457,6182,"+"
"268","PstI.TP57846","Sobic.004G051900.3","Chr04",4197618,4203457,5840,"+"
"269","PstI.TP631692","Sobic.002G235700.1","Chr02",62657766,62663108,5343,"+"
"270","PstI.TP704244","Sobic.003G188100.2","Chr03",50686166,50690141,3976,"+"
"271","PstI.TP704244","Sobic.003G188100.3","Chr03",50686717,50690141,3425,"+"
"272","PstI.TP704666","Sobic.004G268200.2","Chr04",61216506,61221364,4859,"+"
"273","PstI.TP704666","Sobic.004G268200.1","Chr04",61216768,61221364,4597,"+"
"274","PstI.TP723544","Sobic.009G021700.1","Chr09",1942720,1944208,1489,"-"
"275","PstI.TP742466","Sobic.005G222000.1","Chr05",70846703,70855117,8415,"-"
"276","PstI.TP745785","Sobic.006G086900.1","Chr06",45613551,45616219,2669,"+"
"277","PstI.TP745785","Sobic.006G086900.2","Chr06",45613551,45616999,3449,"+"
"278","PstI.TP745785","Sobic.006G086900.3","Chr06",45613551,45616999,3449,"+"
"279","PstI.TP761935","Sobic.001G230400.1","Chr01",22258421,22262314,3894,"+"
"280","PstI.TP761935","Sobic.001G230400.2","Chr01",22258421,22262315,3895,"+"
"281","PstI.TP773172","Sobic.003G215600.1","Chr03",55053821,55062277,8457,"-"
"282","PstI.TP789647","Sobic.003G379700.1","Chr03",69351545,69356137,4593,"-"
"283","PstI.TP789647","Sobic.003G379700.2","Chr03",69351545,69356140,4596,"-"
"284","PstI.TP882936","Sobic.001G078300.4","Chr01",5995283,6000823,5541,"+"
"285","PstI.TP882936","Sobic.001G078300.1","Chr01",5995409,6000823,5415,"+"
"286","PstI.TP882936","Sobic.001G078300.3","Chr01",5995409,6000823,5415,"+"
"287","PstI.TP887302","Sobic.007G084300.1","Chr07",10262034,10270154,8121,"-"
"288","PstI.TP887302","Sobic.007G084300.2","Chr07",10262034,10270154,8121,"-"
"289","PstI.TP887302","Sobic.007G084300.3","Chr07",10262034,10270154,8121,"-"
"290","PstI.TP94792","Sobic.001G007500.1","Chr01",728051,731978,3928,"+"
"291","PstI.TP94792","Sobic.001G007600.1","Chr01",732601,736502,3902,"+"
"292","PstI.TP94792","Sobic.001G007500.1","Chr01",728051,731978,3928,"+"
"293","PstI.TP94792","Sobic.001G007600.1","Chr01",732601,736502,3902,"+"
"294","PstI.TP998491","Sobic.002G117600.1","Chr02",14518039,14538095,20057,"-"
"295","GFSSContig17265_1038","Sobic.006G136800.1","Chr06",49923688,49929393,5706,"+"
"296","NsiI.TP41841","Sobic.002G393600.1","Chr02",74626329,74631459,5131,"+"
"297","NsiI.TP471156","Sobic.006G071096.1","Chr06",43353433,43354267,835,"+"
"298","NsiI.TP488716","Sobic.005G054800.1","Chr05",5554693,5556369,1677,"+"
"299","NsiI.TP576208","Sobic.001G216300.1","Chr01",19995777,20001079,5303,"+"
"300","NsiI.TP648509","Sobic.010G146000.1","Chr10",41350269,41353669,3401,"-"
"301","NsiI.TP717578","Sobic.010G237900.1","Chr10",58017656,58025166,7511,"+"
"302","NsiI.TP741199","Sobic.002G204100.3","Chr02",59553871,59556229,2359,"+"
"303","NsiI.TP741199","Sobic.002G204100.2","Chr02",59553903,59555950,2048,"+"
"304","NsiI.TP741199","Sobic.002G204050.1","Chr02",59554397,59555205,809,"-"
"305","NsiI.TP741199","Sobic.002G204100.3","Chr02",59553871,59556229,2359,"+"
"306","NsiI.TP741199","Sobic.002G204100.2","Chr02",59553903,59555950,2048,"+"
"307","NsiI.TP741199","Sobic.002G204050.1","Chr02",59554397,59555205,809,"-"
"308","NsiI.TP741991","Sobic.002G276800.1","Chr02",65958977,65962368,3392,"+"
"309","NsiI.TP766057","Sobic.007G183900.1","Chr07",61707868,61716228,8361,"-"
"310","NsiI.TP766057","Sobic.007G183900.2","Chr07",61707868,61716228,8361,"-"
"311","NsiI.TP769756","Sobic.001G119800.1","Chr01",9317229,9322526,5298,"+"
"312","NsiI.TP769756","Sobic.001G119800.2","Chr01",9317229,9322526,5298,"+"
"313","NsiI.TP832364","Sobic.001G492800.1","Chr01",76202998,76206852,3855,"-"
"314","PstI.TP10996","Sobic.006G239000.1","Chr06",57969070,57983024,13955,"+"
