Genotype,Species,DAPC group,Latitude,Longitude,South Japan,Central Japan,North Japan,Korea/N China,Sichuan,Yangtze-Qinling,SE China,Msa
PMS-444,M. sinensis,SE China/tropical,23.18,113.379,0.023,0.002,0.003,0.036,0.038,0.048,0.849,0.001
PMS-445,M. sinensis,SE China/tropical,23.182,113.378,0.046,0.007,0,0.001,0.052,0.068,0.821,0.005
PMS-447,M. sinensis,SE China/tropical,23.186,113.38,0.074,0.005,0.01,0.001,0.048,0.062,0.798,0.001
PMS-458,M. sacchariflorus,M. sacchariflorus 4x,36.173,120.498,0.003,0,0.005,0.015,0.001,0,0,0.976
PMS-459,M. xgiganteus,M. xgiganteus 2x,36.218,120.536,0,0,0,0.411,0.001,0.104,0.001,0.482
PMS-460,M. sinensis,Yangtze-Qinling,36.251,120.568,0.001,0.001,0.01,0.002,0.178,0.802,0.001,0.006
PMS-464,M. sinensis,Korea/N China,36.233,117.083,0.002,0.003,0.002,0.729,0,0.236,0.024,0.004
PMS-466,M. sinensis,Korea/N China,37.173,121.734,0.001,0.007,0.006,0.761,0.004,0.195,0.021,0.005
PMS-467-8,M. xgiganteus,M. xgiganteus 2x,37.173,121.735,0,0,0,0.398,0.001,0.105,0,0.496
PMS-474,M. sinensis,Sichuan,30.735,105.177,0.001,0,0,0.004,0.721,0.269,0.005,0
PMS-475,M. sinensis,Sichuan,30.927,105.061,0,0.002,0.002,0.032,0.648,0.304,0.006,0.006
PMS-496,M. sinensis,Korea/N China,41.914,124.666,0,0,0,0.827,0,0.146,0.024,0.002
PMS-504,M. sinensis,Korea/N China,41.816,123.4,0.002,0.001,0,0.797,0.001,0.194,0.005,0.001
PMS-510,M. sinensis,Korea/N China,41.186,123.846,0,0.001,0.004,0.767,0.004,0.21,0.001,0.013
PMS-511,M. sinensis,Korea/N China,41.232,123.757,0,0,0,0.776,0.001,0.219,0.003,0.001
PMS-512,M. sacchariflorus,M. sacchariflorus 2x,41.328,123.691,0,0,0,0.008,0,0,0,0.991
PMS-521,M. sinensis,Sichuan,30.824,107.307,0,0,0.001,0.001,0.862,0.131,0.005,0
PMS-526,M. sinensis,Sichuan,31.079,107.877,0.001,0.003,0.002,0.001,0.694,0.232,0.067,0.001
PMS-533,M. xgiganteus,M. xgiganteus 2x,31.019,108.867,0.001,0.001,0.003,0.17,0.007,0.373,0.182,0.263
PMS-535,M. sinensis,SE China/tropical,31.13,109.021,0.005,0.012,0.001,0.002,0.449,0.443,0.08,0.009
PMS-541,M. sinensis,SE China/tropical,30.681,109.462,0.001,0.002,0.001,0.006,0.546,0.315,0.123,0.005
PMS-543,M. sinensis,SE China/tropical,30.547,109.358,0.001,0.008,0,0.001,0.529,0.326,0.134,0.001
PMS-544,M. sinensis,SE China/tropical,30.441,109.332,0.039,0.004,0,0.042,0.277,0.377,0.261,0.001
PMS-546,M. sinensis,Sichuan,30.267,109.46,0.001,0.001,0.01,0.011,0.884,0.002,0.079,0.012
PMS-555,M. sinensis,SE China/tropical,28.986,109.833,0.001,0.001,0,0.033,0.582,0.158,0.22,0.005
PMS-557,M. sinensis,SE China/tropical,28.52,109.486,0.025,0.001,0.003,0.001,0.437,0.18,0.353,0
PMS-558,M. sinensis,SE China/tropical,28.348,109.549,0.002,0.002,0.004,0.003,0.388,0.153,0.449,0
PMS-571,M. sinensis,SE China/tropical,25.352,110.105,0.001,0.001,0,0.027,0.256,0.11,0.604,0.001
PMS-574,M. sinensis,SE China/tropical,25.016,109.585,0.018,0.001,0.001,0.041,0.418,0.03,0.483,0.008
PMS-576,M. sinensis,SE China/tropical,25.773,109.592,0.001,0,0.012,0.003,0.46,0.063,0.459,0
PMS-586,M. sinensis,Sichuan,27.001,108.699,0,0,0,0.016,0.711,0.037,0.234,0.001
PMS-589,M. sinensis,SE China/tropical,27.949,109.282,0.002,0.001,0.001,0.003,0.37,0.144,0.473,0.006
PMS-601,M. sinensis,Yangtze-Qinling,30.246,119.691,0.001,0.001,0.001,0.362,0,0.447,0.186,0.002
PMS-602,M. sinensis,Yangtze-Qinling,30.305,119.569,0.014,0.013,0.001,0.299,0.003,0.465,0.205,0.001
PMS-605,M. sinensis,Yangtze-Qinling,30.306,119.492,0,0.001,0.006,0.351,0,0.462,0.179,0.001
PMS-606,M. sinensis,Yangtze-Qinling,30.363,119.473,0.001,0.001,0.001,0.342,0,0.448,0.206,0
PMS-607,M. sinensis,Yangtze-Qinling,30.298,119.451,0,0.002,0,0.364,0.001,0.466,0.166,0
PMS-610,M. sinensis,Yangtze-Qinling,30.211,119.586,0,0.004,0.001,0.36,0,0.465,0.17,0
PMS-614,M. sinensis,Yangtze-Qinling,30.274,119.723,0.001,0.034,0.001,0.28,0.004,0.477,0.195,0.008
Shiozuka,M. sinensis,S Japan,,,0.1,0.8,0.1,0,0,0,0,0
UI10-00008,M. sacchariflorus,M. sacchariflorus 2x,,,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.993
UI10-00012,M. sinensis var. condensatus,Ornamental,,,0.225,0.715,0.038,0.003,0.003,0.007,0.006,0.004
UI10-00015,M. sinensis var. condensatus,Ornamental,,,0.252,0.664,0.054,0.003,0.002,0.007,0.018,0.001
UI10-00017,M. sinensis var. condensatus,Ornamental,,,0.563,0.288,0.052,0.033,0.011,0.013,0.038,0.002
UI10-00019,M. xgiganteus,M. xgiganteus 2x,,,0.001,0.001,0.001,0.409,0.003,0.012,0.001,0.571
UI10-00020,M. sinensis,Ornamental,,,0.656,0.176,0.027,0.023,0.008,0.005,0.104,0.002
UI10-00021,M. sinensis,Ornamental,,,0.27,0.2,0.174,0.138,0.007,0.024,0.026,0.161
UI10-00022,M. sinensis,Ornamental,,,0.139,0.715,0.12,0.013,0.002,0.002,0.003,0.005
UI10-00023,M. sinensis,Ornamental,,,0.317,0.402,0.129,0.041,0.007,0.016,0.032,0.056
UI10-00024,M. sinensis,Ornamental,,,0.672,0.207,0.021,0.02,0.005,0.009,0.06,0.006
UI10-00025,M. sinensis,Ornamental,,,0.628,0.241,0.029,0.032,0.013,0.014,0.038,0.006
UI10-00026,M. sinensis,Ornamental,,,0.326,0.338,0.153,0.07,0.012,0.015,0.029,0.057
UI10-00027,M. sinensis,Ornamental,,,0.373,0.251,0.055,0.089,0.015,0.028,0.038,0.152
UI10-00028,M. sinensis,Ornamental,,,0.163,0.693,0.091,0.007,0.002,0.006,0.037,0.002
UI10-00029,M. sinensis,Ornamental,,,0.349,0.164,0.278,0.045,0.009,0.012,0.032,0.11
UI10-00030,M. sinensis,Ornamental,,,0.085,0.804,0.07,0.011,0.004,0.005,0.019,0.003
UI10-00031,M. sinensis,Ornamental,,,0.266,0.152,0.289,0.129,0.01,0.018,0.03,0.107
UI10-00032,M. sinensis,Ornamental,,,0.232,0.474,0.208,0.023,0.011,0.01,0.029,0.012
UI10-00033,M. sinensis,Ornamental,,,0.476,0.35,0.084,0.021,0.015,0.012,0.037,0.005
UI10-00035,M. sinensis,Ornamental,,,0.337,0.099,0.019,0.213,0.01,0.038,0.036,0.249
UI10-00036,M. sinensis,Ornamental,,,0.657,0.198,0.029,0.041,0.01,0.013,0.044,0.008
UI10-00038,M. sinensis var. condensatus,Ornamental,,,0.237,0.657,0.057,0.009,0.006,0.007,0.024,0.004
UI10-00039,M. sinensis,Ornamental,,,0.244,0.102,0.094,0.098,0.046,0.022,0.295,0.101
UI10-00040,M. sinensis,Ornamental,,,0.294,0.138,0.14,0.166,0.009,0.026,0.04,0.188
UI10-00042,M. sinensis,Ornamental,,,0.268,0.21,0.164,0.135,0.009,0.028,0.026,0.16
UI10-00043,M. sinensis,Ornamental,,,0.622,0.232,0.023,0.023,0.02,0.007,0.063,0.009
UI10-00044,M. sinensis,Ornamental,,,0.241,0.428,0.129,0.049,0.01,0.032,0.042,0.068
UI10-00045,M. sinensis,Ornamental,,,0.06,0.821,0.069,0.009,0.001,0.005,0.031,0.004
UI10-00047,M. sinensis,Ornamental,,,0.292,0.142,0.302,0.08,0.008,0.027,0.026,0.122
UI10-00048,M. sinensis,Ornamental,,,0.628,0.232,0.027,0.035,0.014,0.014,0.043,0.007
UI10-00051,M. sinensis,Ornamental,,,0.644,0.227,0.018,0.025,0.013,0.01,0.057,0.006
UI10-00052,M. sinensis,Ornamental,,,0.342,0.163,0.276,0.046,0.01,0.013,0.036,0.114
UI10-00053,M. sinensis,Ornamental,,,0.483,0.213,0.234,0.019,0.011,0.009,0.027,0.004
UI10-00054,M. sinensis,Ornamental,,,0.088,0.795,0.084,0.009,0.006,0.009,0.007,0.003
UI10-00056,M. sinensis,Ornamental,,,0.169,0.451,0.201,0.041,0.006,0.018,0.036,0.078
UI10-00057,M. sinensis,Ornamental,,,0.297,0.141,0.218,0.115,0.014,0.02,0.044,0.153
UI10-00058,M. sinensis,Ornamental,,,0.307,0.183,0.203,0.095,0.009,0.014,0.041,0.148
UI10-00060,M. sinensis,Ornamental,,,0.32,0.326,0.295,0.016,0.007,0.007,0.025,0.003
UI10-00061,M. sinensis,Ornamental,,,0.481,0.211,0.211,0.03,0.012,0.011,0.036,0.007
UI10-00062,M. sinensis,Ornamental,,,0.407,0.437,0.093,0.011,0.011,0.008,0.028,0.004
UI10-00063,M. sinensis,Ornamental,,,0.522,0.204,0.123,0.07,0.007,0.015,0.015,0.044
UI10-00064,M. sinensis,Ornamental,,,0.516,0.159,0.016,0.115,0.008,0.008,0.055,0.123
UI10-00065,M. sinensis,Ornamental,,,0.578,0.204,0.061,0.031,0.015,0.003,0.099,0.008
UI10-00066,M. sinensis,Ornamental,,,0.447,0.362,0.105,0.018,0.008,0.028,0.028,0.004
UI10-00067,M. sinensis,Ornamental,,,0.489,0.225,0.04,0.048,0.016,0.012,0.068,0.102
UI10-00070,M. sinensis,Ornamental,,,0.354,0.352,0.093,0.08,0.008,0.01,0.035,0.067
UI10-00071,M. sinensis,Ornamental,,,0.632,0.236,0.031,0.028,0.014,0.013,0.036,0.009
UI10-00072,M. xgiganteus,Ornamental,,,0.32,0.086,0.004,0.125,0.003,0.016,0.078,0.366
UI10-00073,M. sinensis,Ornamental,,,0.444,0.321,0.055,0.078,0.013,0.019,0.024,0.046
UI10-00074,M. sinensis,Ornamental,,,0.279,0.15,0.14,0.19,0.006,0.023,0.026,0.188
UI10-00075,M. sinensis,Ornamental,,,0.508,0.335,0.064,0.031,0.011,0.017,0.03,0.005
UI10-00078,M. sinensis,Ornamental,,,0.364,0.257,0.056,0.1,0.016,0.02,0.03,0.157
UI10-00079,M. sinensis,Ornamental,,,0.626,0.196,0.043,0.039,0.014,0.017,0.047,0.017
UI10-00080,M. sinensis,Ornamental,,,0.082,0.728,0.139,0.005,0.004,0.003,0.035,0.005
UI10-00081,M. sinensis,Ornamental,,,0.322,0.149,0.172,0.148,0.009,0.019,0.023,0.159
UI10-00082,M. sinensis,Ornamental,,,0.518,0.204,0.125,0.074,0.006,0.013,0.014,0.046
UI10-00083,M. sinensis,Ornamental,,,0.619,0.236,0.022,0.033,0.022,0.007,0.057,0.003
UI10-00084,M. sinensis,Ornamental,,,0.654,0.19,0.031,0.041,0.013,0.014,0.049,0.009
UI10-00085,M. sinensis,Ornamental,,,0.037,0.843,0.064,0.004,0.001,0.005,0.045,0.002
UI10-00086,M. sinensis,Ornamental,,,0.662,0.202,0.017,0.033,0.01,0.014,0.05,0.012
UI10-00087,M. sinensis,Ornamental,,,0.621,0.228,0.03,0.024,0.013,0.011,0.068,0.004
UI10-00088,M. sinensis,Ornamental,,,0.161,0.704,0.076,0.002,0.005,0.004,0.046,0.001
UI10-00089,M. sinensis,Ornamental,,,0.317,0.141,0.182,0.14,0.01,0.029,0.026,0.156
UI10-00090,M. sinensis,Ornamental,,,0.437,0.275,0.066,0.063,0.008,0.027,0.041,0.083
UI10-00092,M. sinensis,Ornamental,,,0.383,0.416,0.12,0.015,0.012,0.013,0.03,0.01
UI10-00094,M. sinensis,Ornamental,,,0.343,0.434,0.161,0.015,0.007,0.007,0.029,0.003
UI10-00096,M. sinensis,Ornamental,,,0.408,0.166,0.127,0.123,0.011,0.032,0.022,0.113
UI10-00097,M. sinensis,Ornamental,,,0.659,0.208,0.025,0.036,0.013,0.011,0.041,0.007
UI10-00099,M. sinensis,Ornamental,,,0.439,0.176,0.121,0.097,0.005,0.02,0.033,0.108
UI10-00100,M. sinensis,Ornamental,,,0.624,0.225,0.017,0.017,0.007,0.005,0.104,0.002
UI10-00101,M. sinensis,Ornamental,,,0.62,0.233,0.01,0.018,0.008,0.004,0.1,0.007
UI10-00102,M. sinensis,Ornamental,,,0.093,0.676,0.183,0.008,0.008,0.005,0.02,0.006
UI10-00104,M. sinensis,Ornamental,,,0.277,0.215,0.17,0.122,0.009,0.022,0.027,0.159
UI10-00105,M. sinensis var. transmorrisonensis,Ornamental,,,0.044,0.051,0.007,0.005,0.056,0.003,0.813,0.02
UI10-00106,M. sinensis var. transmorrisonensis,Ornamental,,,0.286,0.287,0.06,0.021,0.036,0.009,0.285,0.017
UI10-00107,M. xgiganteus,M. xgiganteus 3x,,,0.298,0.114,0.004,0.001,0.002,0.002,0.003,0.575
UI11-00009,M. sinensis,Ornamental,,,0.288,0.156,0.254,0.093,0.014,0.029,0.027,0.139
UI11-00024,M. sinensis,Ornamental,,,0.385,0.497,0.084,0.006,0.005,0.002,0.02,0.001
UI12-00001,M. sinensis,Ornamental,,,0.272,0.2,0.165,0.134,0.015,0.027,0.032,0.155
UI12-00002,M. sinensis,Ornamental,,,0.256,0.57,0.109,0.01,0.009,0.011,0.033,0.003
VA-2010-001-022,M. sinensis,US naturalized,38.553,-77.356,0.626,0.231,0.025,0.036,0.012,0.019,0.046,0.006
VA-2010-001-B40-e,M. sinensis,US naturalized,38.553,-77.356,0.637,0.222,0.022,0.035,0.013,0.01,0.053,0.008
p196-150A-c,M. sinensis,Doubled haploid,,,,,,,,,,
p877-348-b,M. sinensis,Doubled haploid,,,,,,,,,,
