"","SNP","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name","PVE"
"21","PstI.TP846513",11,5867,0.0000287497989508638,0.0717067420075667,124,0.477538259734697,0.563865900372032,0.0309420629593076,0.474723671869601,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.6327640637335
"22","GFSSContig15563_263",9,58912474,0.0000290877122629873,0.144527751378429,124,0.477538259734697,0.563747658335676,0.0309420629593076,-0.350405328948642,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.6209398600979
"23","PstI.TP1090311",6,47330022,0.0000295940130819866,0.0774657867481716,124,0.477538259734697,0.563573095600641,0.0309420629593076,0.433992249504771,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.6034835865944
"24","PstI.TP53013",9,59327122,0.0000298989178813067,0.071683584728765,124,0.477538259734697,0.563469436335825,0.0309420629593076,-0.418191031890785,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.5931176601128
"25","PstI.TP724007",11,4995,0.000031130150253207,0.0704529782598111,124,0.477538259734697,0.563061559456726,0.0309420629593076,0.435661790814877,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.5523299722029
"26","NsiI.TP443125",4,52156961,0.0000325892941162765,0.116221577232209,124,0.477538259734697,0.562599005730115,0.0309420629593076,-0.375562355851656,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.5060745995418
"27","NsiI.TP465791",1,74820948,0.0000333572232872869,0.111828595397867,124,0.477538259734697,0.562363997888274,0.0309420629593076,0.430927175859209,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.4825738153577
"28","PstI.TP140756",11,1171,0.0000341045151454278,0.266891117570957,124,0.477538259734697,0.562140553842986,0.0309420629593076,-0.293860609259016,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.4602294108289
"29","PstI.TP875140",2,72930521,0.0000342044608454647,0.224963099992895,124,0.477538259734697,0.562111049488628,0.0309420629593076,0.359799166934112,0.0309420629593076,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.4572789753931
"30","PstI.TP588590",11,4212,0.0000368245427957,0.138703018939832,124,0.477538259734697,0.561367496731974,0.0322018351900798,-0.399341222809744,0.0322018351900798,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.3829236997277
"31","NsiI.TP415575",9,53923129,0.0000401959106332778,0.0485395351777229,124,0.477538259734697,0.560486557763568,0.0326573306378124,-0.54345559845292,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.2948298028871
"32","NsiI.TP777080",11,18691,0.0000402693043493877,0.415200430257219,124,0.477538259734697,0.560468230705657,0.0326573306378124,0.256713297738559,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.292997097096
"33","PstI.TP139250",11,1151,0.0000441648242389604,0.0702583335551789,124,0.477538259734697,0.559541512032521,0.0326573306378124,0.430085854890517,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.2003252297824
"34","PstI.TP771300",8,5124822,0.0000454474807935969,0.172995991875564,124,0.477538259734697,0.559254575815974,0.0326573306378124,-0.594709355512766,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.1716316081277
"35","PstI.TP1235909",4,64295006,0.0000463324443096031,0.157475996926903,124,0.477538259734697,0.559061390422915,0.0326573306378124,-0.317430906909595,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.1523130688218
"36","PstI.TP77980",10,10346907,0.000046335897744107,0.316980923667406,124,0.477538259734697,0.559060643956857,0.0326573306378124,0.349718950280277,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.152238422216
"37","NsiI.TP753743",9,41089177,0.0000473130768002818,0.0801235746898635,124,0.477538259734697,0.558851677535628,0.0326573306378124,-0.404424244748896,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.1313417800931
"38","PstI.TP607682",6,57995101,0.0000481560582249626,0.184007509971635,124,0.477538259734697,0.558674922918212,0.0326573306378124,0.301923883398073,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.1136663183515
"39","PstI.TP465891",11,3546,0.0000485490544665199,0.0707216104782161,124,0.477538259734697,0.558593598349103,0.0326573306378124,-0.463400921352007,0.0326573306378124,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.10553386144061
"40","PstI.TP1044533",10,781197,0.000053176501933306,0.456741837294826,124,0.477538259734697,0.557683655770894,0.0342586341763898,-0.273535243559604,0.0342586341763897,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.0145396036197
"41","PstI.TP597057",11,4238,0.0000535413585893108,0.210616117144931,124,0.477538259734697,0.557615387770629,0.0342586341763898,0.322091257828492,0.0342586341763897,"124+36088im","PS_Y","GAPIT","GLM","CmN",8.0077128035932
"42","PstI.TP1128716",3,65668248,0.0000583574749206726,0.120836377929724,124,0.477538259734697,0.556756334190166,0.0358960664287806,0.349236829188722,0.0358960664287807,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.9218074455469
"43","NsiI.TP750615",1,12653027,0.0000588370380589147,0.0653512331387053,124,0.477538259734697,0.556674795420068,0.0358960664287806,1.16537321484396,0.0358960664287807,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.9136535685371
"44","NsiI.TP154371",4,5011408,0.0000611519900630706,0.0772339228831626,124,0.477538259734697,0.556290513131735,0.0364312264139397,0.528048714892408,0.0364312264139397,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.87522533970381
"45","NsiI.TP466452",11,14696,0.0000637103547668642,0.302700770521454,124,0.477538259734697,0.555882756821982,0.0364312264139397,0.236859210719103,0.0364312264139397,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.8344497087285
"46","PstI.TP253210",11,2060,0.0000640616165766216,0.097255022003143,124,0.477538259734697,0.555828083064556,0.0364312264139397,0.362111396181519,0.0364312264139397,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.8289823329859
"47","NsiI.TP509742",9,47862370,0.0000652690265096884,0.206932921751139,124,0.477538259734697,0.555642460588417,0.0364312264139397,-0.40887836812315,0.0364312264139397,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.81042008537201
"48","NsiI.TP575555",2,2228424,0.0000680202195476047,0.0605442264294497,124,0.477538259734697,0.555232294645793,0.0371758841585805,0.535323690918798,0.0371758841585804,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.76940349110961
"49","PstI.TP719892",5,64652954,0.000071322794842671,0.161340150618415,124,0.477538259734697,0.554761764914008,0.0371773785106382,0.282907176868569,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.7223505179311
"50","NsiI.TP762015",7,823818,0.0000730524778440851,0.0572435405333856,124,0.477538259734697,0.554524144924715,0.0371773785106382,-0.416489429649312,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.6985885190018
"51","PstI.TP908218",11,6342,0.0000751450255927693,0.0733357670852986,124,0.477538259734697,0.554244249593468,0.0371773785106382,-0.431470490662542,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.6705989858771
"52","PstI.TP257951",4,14228269,0.0000757365011750211,0.0652258941552626,124,0.477538259734697,0.554166578751998,0.0371773785106382,-0.449424251453071,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.6628319017301
"53","NsiI.TP609571",11,16656,0.0000757426870121578,0.461914150040411,124,0.477538259734697,0.554165769725712,0.0371773785106382,0.505759016478839,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.6627509991015
"54","NsiI.TP473151",11,14822,0.0000797163893873575,0.0531161650259155,124,0.477538259734697,0.553659551287292,0.0371773785106382,-0.516091678572384,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.61212915525951
"55","PstI.TP1029642",11,7158,0.0000801962298547474,0.122250923822093,124,0.477538259734697,0.553600177040248,0.0371773785106382,0.315913664046742,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.6061917305551
"56","PstI.TP713758",7,53864081,0.0000834499118861128,0.0797079819638016,124,0.477538259734697,0.553206913748881,0.0371773785106382,-0.494464869285775,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.5668654014184
"57","PstI.TP663163",2,69910554,0.0000840309252285089,0.0501344131082235,124,0.477538259734697,0.55313834142336,0.0371773785106382,-0.506193577606116,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.56000816886631
"58","NsiI.TP159695",6,57820247,0.0000841358585541658,0.182779556773823,124,0.477538259734697,0.553126008700973,0.0371773785106382,0.405877959639433,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.5587748966276
"59","GFSSContig17477_775",2,67954599,0.0000843552725722177,0.0532543697903131,124,0.477538259734697,0.553100271921759,0.0371773785106382,-0.44384318677909,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.5562012187062
"60","PstI.TP1237979",11,8717,0.0000853021503466053,0.0470531544638159,124,0.477538259734697,0.552989984970002,0.0371773785106382,-0.536763265895778,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.5451725235305
"61","PstI.TP1250993",4,666401,0.0000865920646021369,0.105813688405074,124,0.477538259734697,0.552841741067714,0.0371773785106382,0.365075055128325,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.5303481333017
"62","PstI.TP850835",1,6117705,0.0000898737954680824,0.116935483870968,124,0.477538259734697,0.552474540900939,0.0371773785106382,-0.381468916478912,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.4936281166242
"63","NsiI.TP324732",11,12703,0.0000919378161598947,0.27220016505917,124,0.477538259734697,0.552250553024729,0.0371773785106382,0.324834853159988,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.4712293290032
"64","PstI.TP230112",11,1898,0.0000941271832575512,0.21527815543293,124,0.477538259734697,0.552018515785784,0.0371773785106382,0.279167226779263,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.4480256051087
"65","NsiI.TP172212",1,67605060,0.0000942910244629836,0.31740295586425,124,0.477538259734697,0.552001373903012,0.0371773785106382,0.369028213717479,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.4463114168315
"66","PstI.TP344899",7,61484903,0.0000960731234076744,0.0559422226951578,124,0.477538259734697,0.55181686572243,0.0371773785106382,0.407965196826101,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.42786059877331
"67","NsiI.TP11666",7,14339016,0.000096533089822882,0.0637309103232514,124,0.477538259734697,0.551769811783112,0.0371773785106382,-0.431329432895862,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.4231552048415
"68","NsiI.TP448134",11,14419,0.0000978319392938484,0.0613888291381893,124,0.477538259734697,0.551638169284282,0.0371773785106382,-0.507603789758319,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.4099909549585
"69","PstI.TP485114",9,57032697,0.0000991341198364547,0.055910079960638,124,0.477538259734697,0.551507971804941,0.0371773785106382,-0.405545284529401,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.39697120702441
"70","NsiI.TP441664",11,14308,0.000100597760784699,0.088739551341005,124,0.477538259734697,0.551363703031229,0.0371773785106382,0.424016878451797,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.3825443296532
"71","PstI.TP1187427",6,50717397,0.0001006172857458,0.0610134101396144,124,0.477538259734697,0.551361793034562,0.0371773785106382,-0.502802635938254,0.0371773785106383,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.3823533299865
"72","PstI.TP1248844",8,1028461,0.000102204471278139,0.07948853505922,124,0.477538259734697,0.551207783998156,0.0372393347154263,-0.342438053762771,0.0372393347154264,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.3669524263459
"73","NsiI.TP616137",6,57075072,0.000111822030698898,0.117853699086058,124,0.477538259734697,0.550323919020276,0.0401854678541766,0.347028641249222,0.0401854678541766,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.2785659285579
"74","PstI.TP45703",11,389,0.000116647425906868,0.0649803291027859,124,0.477538259734697,0.549909344921796,0.0411507351271805,-0.513561433274651,0.0411507351271806,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.2371085187099
"75","PstI.TP737551",6,57757179,0.00011764523650753,0.0787596695244003,124,0.477538259734697,0.549825809721659,0.0411507351271805,-0.432137148847347,0.0411507351271806,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.2287549986962
"76","NsiI.TP656422",11,17204,0.000126482354178638,0.120768045115472,124,0.477538259734697,0.549116145485149,0.0427861040039656,0.583014378124857,0.0427861040039656,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.1577885750452
"77","NsiI.TP51472",11,9740,0.000128714091972292,0.0444812776053742,124,0.477538259734697,0.548944949082644,0.0427861040039656,0.464832576540177,0.0427861040039656,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.1406689347947
"78","PstI.TP132940",3,8690384,0.00012982155480058,0.0658012757919627,124,0.477538259734697,0.548861120040506,0.0427861040039656,-0.817555189207169,0.0427861040039656,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.1322860305809
"79","PstI.TP977299",11,6780,0.000131010389249373,0.0518684039342686,124,0.477538259734697,0.548771942158066,0.0427861040039656,0.51453544124111,0.0427861040039656,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.1233682423369
"80","PstI.TP788810",3,8503251,0.000131612156615978,0.439516129032258,124,0.477538259734697,0.54872711703294,0.0427861040039656,-0.237375471177081,0.0427861040039656,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.1188857298243
"81","NsiI.TP115990",11,10376,0.000132106214238058,0.348730894195665,124,0.477538259734697,0.548690471620333,0.0427861040039656,-0.285235131575421,0.0427861040039656,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.1152211885636
"82","PstI.TP916844",11,6407,0.000135057121107298,0.0512021516815174,124,0.477538259734697,0.548474474905013,0.0432083965259618,0.486927703337474,0.0432083965259617,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.0936215170316
"83","PstI.TP385678",2,45782629,0.000140016686565299,0.332369094061537,124,0.477538259734697,0.548122106511127,0.04425539464282,0.279479796078441,0.0442553946428199,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.058384677643
"84","NsiI.TP255006",6,59462133,0.000141899273510017,0.17849018408517,124,0.477538259734697,0.547991685981587,0.0443164945388309,0.297023777096432,0.0443164945388308,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.045342624689
"85","PstI.TP758246",10,10804856,0.000145782413641584,0.0540175532828425,124,0.477538259734697,0.547728176775549,0.0445140723337656,-0.465709322934565,0.0445140723337655,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.0189917040852
"86","PstI.TP323391",11,2564,0.000147285372684874,0.10931041786033,124,0.477538259734697,0.547628109641496,0.0445140723337656,-0.467822877518923,0.0445140723337655,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.0089849906799
"87","NsiI.TP667008",8,1326292,0.000147625800381349,0.324789183122054,124,0.477538259734697,0.547605589126444,0.0445140723337656,-0.243801661241566,0.0445140723337655,"124+36088im","PS_Y","GAPIT","GLM","CmN",7.0067329391747
"88","PstI.TP747686",5,191126,0.000149319141776754,0.0885391918879997,124,0.477538259734697,0.547494352517889,0.0445140723337656,-0.39995966867628,0.0445140723337655,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.9956092783192
"89","PstI.TP356174",11,2816,0.000153479158680364,0.0488879257711834,124,0.477538259734697,0.547226469776989,0.0452401376271985,0.458911904665082,0.0452401376271985,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.9688210042292
"90","NsiI.TP443023",2,56699414,0.000158910687979097,0.0687169753418999,124,0.477538259734697,0.546887683277723,0.046320699871596,-0.399266416864977,0.0463206998715959,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.9349423543026
"91","NsiI.TP128678",3,69000501,0.000162331515307211,0.42556853712309,124,0.477538259734697,0.546680342572806,0.0467978568414216,0.379077590353359,0.0467978568414217,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.9142082838109
"92","NsiI.TP681203",1,8181678,0.000165941341846269,0.0512504365679727,124,0.477538259734697,0.546466341412762,0.0469371886874855,-0.435418895186309,0.0469371886874855,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8928081678065
"93","NsiI.TP241298",11,11843,0.000167422465531243,0.0790488340221573,124,0.477538259734697,0.546379911464263,0.0469371886874855,-0.430221389151269,0.0469371886874855,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8841651729566
"94","NsiI.TP84023",11,10066,0.000168182348731556,0.158122364729738,124,0.477538259734697,0.546335872319063,0.0469371886874855,-0.547504474605393,0.0469371886874855,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8797612584366
"95","PstI.TP111833",1,67205643,0.000170284749119927,0.0581967563946463,124,0.477538259734697,0.546215080705579,0.0470236853517069,0.625120947146393,0.047023685351707,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8676820970882
"96","PstI.TP241242",10,7791807,0.000175468136233076,0.440981863058487,124,0.477538259734697,0.545923677676603,0.0470820083484606,-0.221853551982682,0.0470820083484607,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8385417941906
"97","PstI.TP485051",1,7260226,0.000176025250110368,0.169354838709677,124,0.477538259734697,0.545892883412544,0.0470820083484606,-0.289098642125077,0.0470820083484607,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.83546236778471
"98","PstI.TP321657",11,2549,0.000176646555718051,0.0612392477652218,124,0.477538259734697,0.545858658440616,0.0470820083484606,-0.450287236063264,0.0470820083484607,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8320398705919
"99","NsiI.TP319204",11,12621,0.000177674728462972,0.0468178165562001,124,0.477538259734697,0.545802290780502,0.0470820083484606,0.478176469681948,0.0470820083484607,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8264031045805
"100","NsiI.TP215181",11,11521,0.000181094715530209,0.0505884351396512,124,0.477538259734697,0.545617170660016,0.0473550514270486,-0.435306025078322,0.0473550514270485,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.8078910925319
"101","PstI.TP543083",7,7619505,0.000183368649331987,0.204847273108087,124,0.477538259734697,0.545496055668007,0.0473550514270486,0.297973993975354,0.0473550514270485,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.795779593331
"102","NsiI.TP459060",10,497104,0.000184192077143034,0.103128413136668,124,0.477538259734697,0.545452576850427,0.0473550514270486,-0.50081189622775,0.0473550514270485,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.791431711573
"103","NsiI.TP230244",11,11712,0.000185925527825951,0.178907720781442,124,0.477538259734697,0.545361693614525,0.0473550514270486,-0.253644387479437,0.0473550514270485,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.7823433879828
"104","NsiI.TP390222",4,58488770,0.000190606337536823,0.0983836512828158,124,0.477538259734697,0.545120551485974,0.0480804486436637,-0.3925125558424,0.0480804486436636,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.75822917512771
"105","PstI.TP1164803",11,8190,0.000193135812926034,0.331473476130217,124,0.477538259734697,0.544992751351581,0.0482545230123961,-0.195850031901289,0.048254523012396,"124+36088im","PS_Y","GAPIT","GLM","CmN",6.7454491616884
"106","PstI.TP1133587",10,42973263,0.00000000000120000878717515,0.058171140934787,124,0.513693071295645,0.783694765483175,0.0000000314810305227528,1.45862444910953,0.0000000314810305227529,"124+36088im","PS_Y","GAPIT","GLM","GS",27.000169418753
"107","PstI.TP1264070",2,7827620,0.00000000000618289909706338,0.08212589006936,124,0.513693071295645,0.762693364577166,0.0000000811010874561804,-1.14389310867774,0.0000000811010874561804,"124+36088im","PS_Y","GAPIT","GLM","GS",24.9000293281521
"108","PstI.TP65187",6,51685319,0.0000000000106000266144549,0.0973658112203374,124,0.513693071295645,0.755922434193485,0.0000000926936994012029,-1.46281699277394,0.0000000926936994012033,"124+36088im","PS_Y","GAPIT","GLM","GS",24.222936289784
"109","PstI.TP1031387",11,7167,0.00000000144091404848455,0.315423150882954,124,0.513693071295645,0.697184808284168,0.0000094502347869859,2.38064134464334,0.00000945023478698592,"124+36088im","PS_Y","GAPIT","GLM","GS",18.3491736988523
"110","NsiI.TP693777",1,69767711,0.00000000292137374234532,0.384042750046127,124,0.513693071295645,0.689160136540484,0.0000150838093108848,-1.90595549655168,0.0000150838093108848,"124+36088im","PS_Y","GAPIT","GLM","GS",17.5467065244839
"111","NsiI.TP149692",11,10781,0.00000000344983059637527,0.0903075859891929,124,0.513693071295645,0.687287509594559,0.0000150838093108848,0.89323242119864,0.0000150838093108848,"124+36088im","PS_Y","GAPIT","GLM","GS",17.3594438298914
"112","NsiI.TP251198",11,11959,0.00000000468429139821385,0.169181035461555,124,0.513693071295645,0.683857484010964,0.0000175553857915346,1.34745341210011,0.0000175553857915346,"124+36088im","PS_Y","GAPIT","GLM","GS",17.0164412715319
"113","PstI.TP1078462",11,7529,0.00000000716154341193695,0.393583505237841,124,0.513693071295645,0.679129523539651,0.0000227189118865266,-1.83235557792739,0.0000227189118865266,"124+36088im","PS_Y","GAPIT","GLM","GS",16.5436452244006
"114","NsiI.TP713435",11,17915,0.00000000829381276392005,0.0802843948361387,124,0.513693071295645,0.677503403095816,0.0000227189118865266,-1.14434288695422,0.0000227189118865266,"124+36088im","PS_Y","GAPIT","GLM","GS",16.3810331800171
"115","PstI.TP512725",11,3867,0.00000000906085090617302,0.0596575191162288,124,0.513693071295645,0.676525639573402,0.0000227189118865266,0.834344064881354,0.0000227189118865266,"124+36088im","PS_Y","GAPIT","GLM","GS",16.2832568277757
"116","PstI.TP643786",7,854183,0.00000000952611232567633,0.0587437694727918,124,0.513693071295645,0.675972840006885,0.0000227189118865266,-1.32081874048216,0.0000227189118865266,"124+36088im","PS_Y","GAPIT","GLM","GS",16.227976871124
"117","NsiI.TP353473",11,13012,0.000000010464944989766,0.0631381281853496,124,0.513693071295645,0.674936562799174,0.0000228781139051267,0.870159982600302,0.0000228781139051268,"124+36088im","PS_Y","GAPIT","GLM","GS",16.1243491503529
"118","PstI.TP1266759",3,52149252,0.0000000158844688535124,0.0573034765556845,124,0.513693071295645,0.670357704946676,0.000032054858146388,0.73144303331916,0.000032054858146388,"124+36088im","PS_Y","GAPIT","GLM","GS",15.6664633651031
