"","Name","Chromosome","Position","P.value","maf","effect","Adj.P.P.value","Ind.SNP","PS","Software","Method","Trait.name"
"18","PstI.TP898259",1,79442910,0.000000000980674885047503,0.397028199437252,-0.272060702090395,0.00000857567497811206,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"19","PstI.TP1082141",2,57174602,0.0000000272552619129504,0.0961625312398983,-0.404892777680326,0.000147031714354449,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"20","NsiI.TP634727",3,6399724,0.000000000650080002307808,0.0885541208353157,-0.552806840858683,0.00000852709939027152,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"21","NsiI.TP390222",4,58488770,0.00000350592651028149,0.0892103764541734,-0.410481415543075,0.0131392108672464,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"22","NsiI.TP750593",4,61084375,0.0000104247148594004,0.118516318094222,-0.344944840223363,0.0303868855135011,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"23","NsiI.TP471487",10,52898413,0.000000000393008975253719,0.187045940670459,-0.454938724324148,0.00000852709939027152,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"24","PstI.TP25647",11,198,0.0000000280231215892446,0.0685025398255644,-0.608775093811406,0.000147031714354449,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"25","PstI.TP1127198",11,7909,0.000000457599662227658,0.0554091662281228,0.507048365682668,0.00200077825648006,"124+36088im","PS_N","FarmCPU","FarmCPU","CCirc_cm"
"26","NsiI.TP423584",2,57602883,0.000000000347750807591393,0.0603609013244542,-0.671395377793871,0.0000045614473431763,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"27","NsiI.TP810561",2,61303139,0.000000020872318447969,0.473603934570462,0.570739928485388,0.000136891100541005,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"28","PstI.TP701332",3,60121147,0.0000000445676834480649,0.0661786313002327,0.62238089992968,0.000233837721515307,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"29","NsiI.TP127922",4,54754163,0.00000000000679401540167809,0.178547981653753,-0.57928293101058,0.000000178234200047623,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"30","NsiI.TP89701",4,63161916,0.00000616717617936025,0.312963832056181,0.292890369603027,0.0179766333210374,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"31","GFSSContig19414_135",7,14457079,0.0000000588394389607004,0.200241924446067,0.470621677729652,0.000257265640282502,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"32","PstI.TP953477",7,59672539,0.00000970832222506136,0.0650211509428618,0.550718379375242,0.025468812525226,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"33","NsiI.TP200401",8,57224404,0.00000204731080962503,0.292039206954367,0.276359170738749,0.00671364397246288,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"34","NsiI.TP122100",11,10465,0.00000000540279688282657,0.13244964990062,0.493569390853997,0.0000472456578080241,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"35","NsiI.TP485243",11,14975,0.000000834613681373659,0.458672373217418,-0.270596438165552,0.00312789361673665,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW"
"36","NsiI.TP46196",1,57778864,0.0000058942866239389,0.12293191579482,-0.324698482938948,0.0257717858820689,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"37","NsiI.TP423584",2,57602883,0.0000000105987819909746,0.0603609013244542,-0.53654107578279,0.000138295176909808,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"38","NsiI.TP810561",2,61303139,0.0000150760525212697,0.473603934570462,0.391108247745227,0.0439450179825544,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"39","PstI.TP701332",3,60121147,0.0000112391799301704,0.0661786313002327,0.387823735441237,0.0381839163980929,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"40","NsiI.TP127922",4,54754163,0.0000000158148025741185,0.178547981653753,-0.427580569704699,0.000138295176909808,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"41","NsiI.TP89701",4,63161916,0.000000136053898817737,0.312963832056181,0.291880768610225,0.000892309495396128,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"42","NsiI.TP608372",9,152998,0.000000000355436528048237,0.152691472062079,0.452371511941586,0.00000932452187681745,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"43","PstI.TP160694",9,55685356,0.00000117179783151678,0.0588442391595474,0.463771683893727,0.00614818886240224,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"44","PstI.TP1089091",11,7602,0.0000116441004492164,0.137874200102614,0.300290635252252,0.0381839163980929,"124+36088im","PS_N","FarmCPU","FarmCPU","CmDW_g"
"45","PstI.TP376790",1,28681754,0.00000506427011861983,0.263626005589483,-0.119488540707846,0.0221426770486454,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_BI_mm"
"46","PstI.TP5429",2,74605041,0.00000100159287515389,0.201096078876552,-0.11776809903792,0.00875859582892905,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_BI_mm"
"47","PstI.TP867369",3,14568699,0.00000148101084948302,0.0664518441203483,-0.166666149232988,0.00971320965633439,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_BI_mm"
"48","PstI.TP197570",5,51810245,0.0000000131281835228477,0.0563265182015745,0.221200487310853,0.000344404766538387,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_BI_mm"
"49","NsiI.TP717578",10,58023898,0.0000021243574518354,0.181265690837221,0.148589568431274,0.01114607867829,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_BI_mm"
"50","NsiI.TP165765",11,10960,0.000000783019016562492,0.110101981067593,0.161136258100176,0.00875859582892905,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_BI_mm"
"51","NsiI.TP331606",1,21598230,0.000000397581060722751,0.229845662673574,0.175871539783953,0.00347671384900022,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"52","PstI.TP376790",1,28681754,0.000000280462355479506,0.263626005589483,-0.160733640662698,0.00347671384900022,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"53","PstI.TP262331",2,4692065,0.000000770387937552488,0.0884680491308162,-0.2225962055524,0.00433611667957029,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"54","NsiI.TP810561",2,61303139,0.0000146282479252322,0.473603934570462,0.18218557710321,0.0479696820088177,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"55","NsiI.TP488716",5,5554725,0.000000826430715783008,0.218791930485734,0.183486085634429,0.00433611667957029,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"56","PstI.TP154137",9,46091568,0.0000059344263908129,0.0949462004770476,0.216881028993688,0.0222405345623694,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"57","NsiI.TP717578",10,58023898,0.00000284893533794466,0.181265690837221,0.165544656521119,0.0124564949426067,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"58","PstI.TP142256",11,1187,0.00000000220406450632398,0.262304501505816,0.194649542046469,0.0000578214282589033,"124+36088im","PS_N","FarmCPU","FarmCPU","CmD_LI_mm"
"59","NsiI.TP754072",1,67675884,0.00000239048880599991,0.165808297894291,-0.185157357694351,0.0069680092596224,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"60","PstI.TP749093",2,74477521,0.00000287289151733771,0.412106485445215,-0.094338146801751,0.00753674360658375,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"61","NsiI.TP327757",3,71119897,0.0000000000000069877861981227,0.198608856846227,0.326796713831232,0.000000000183317583121551,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"62","NsiI.TP127922",4,54754163,0.000000053985609806615,0.178547981653753,-0.185565255541009,0.000283251697533348,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"63","PstI.TP480983",4,61064043,0.0000000724663654459739,0.131172400178327,0.195083727653368,0.000316847105184947,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"64","PstI.TP1026977",4,62207098,0.0000000276894644166809,0.404324543465694,0.140678923230243,0.000181601352376802,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"65","NsiI.TP352026",6,555824,0.00000000171137895168878,0.0670675047294072,-0.354860704011912,0.0000224481577093017,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"66","PstI.TP251038",7,4460512,0.000000484631035328417,0.349049503573747,0.202001883192019,0.00181625865440081,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"67","PstI.TP541255",10,53477961,0.00000000703366884680919,0.0593531372228637,0.360149102745463,0.0000615070895090641,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"68","NsiI.TP309946",11,12519,0.000000610164510307216,0.243750313683877,-0.133737757067977,0.00200088197042494,"124+36088im","PS_N","FarmCPU","FarmCPU","CmN"
"69","NsiI.TP520698",1,3113038,0.000000332707233821577,0.445082134320897,9.00239080212218,0.00290941385735842,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"70","PstI.TP1051083",1,13150553,0.00000548026736224116,0.246211227668286,-7.82290486621759,0.0205384762830049,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"71","NsiI.TP810561",2,61303139,0.000000000218452869438255,0.473603934570462,19.7756838693177,0.00000573089257684318,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"72","NsiI.TP127922",4,54754163,0.000000280974563824063,0.178547981653753,-11.5303602769095,0.00290941385735842,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"73","NsiI.TP635575",5,38567770,0.000000472682281367963,0.25791577387052,10.094704550262,0.00310008674235179,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"74","PstI.TP795667",8,528900,0.00000115021886370617,0.0686274509803922,15.0946660827294,0.00603496833409353,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"75","PstI.TP901954",9,3265857,0.0000160493019387467,0.2998048525272,6.60147254330529,0.0467819318956757,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"76","PstI.TP355049",9,55239543,0.00000173639122154454,0.364330284553005,8.85601058653904,0.00759208121766658,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"77","PstI.TP1123892",11,7887,0.00000811701885457071,0.211963151461554,-10.9805405146456,0.026617734078851,"124+36088im","PS_N","FarmCPU","FarmCPU","Cml_cm"
"78","PstI.TP491075",1,10576908,0.0000052898229994299,0.0814595569215246,-0.446415337194288,0.0277546433134088,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"79","NsiI.TP387064",1,78909565,0.000000136305677988605,0.269027368775732,0.348519128555069,0.000893960789088266,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"80","PstI.TP957550",2,63408981,0.00000685169410924023,0.100349872040405,-0.458117735726251,0.0299578905436347,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"81","PstI.TP1059831",9,42337221,0.0000000354584062241696,0.302758162627354,-0.558731089812148,0.000310071942961622,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"82","PstI.TP1029976",10,44209597,0.00000000124682067769372,0.397127973654572,-0.399937148623864,0.0000163545468293085,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"83","NsiI.TP323814",11,12684,0.000000000803951677508668,0.192846515210847,0.592808126549329,0.0000163545468293085,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"84","NsiI.TP752448",11,18347,0.0000093286533949783,0.494141518225743,-0.261840681336398,0.0349611275948372,"124+36088im","PS_N","FarmCPU","FarmCPU","FD"
"85","NsiI.TP789014",1,28276920,0.00000000000000765345341652778,0.138694045351621,0.0890224871459724,0.00000000020078069692919,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"86","PstI.TP477722",1,65237049,0.0000000000000747736581483879,0.233637030991003,-0.0611770317305745,0.000000000980806073932404,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"87","NsiI.TP632002",1,70863814,0.00000000000128260104683221,0.220740537148694,0.0516112413897058,0.0000000112159186208654,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"88","NsiI.TP51047",2,13453548,0.000000128193995355305,0.379602360939546,0.0359834007376628,0.000672608254830214,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"89","PstI.TP29028",6,45093133,0.0000131986113966196,0.20320964146933,-0.0296368334323315,0.0384724857087687,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"90","NsiI.TP675623",6,46224826,0.000000198394847838,0.159038882339635,0.0476278116450955,0.000867448406363682,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"91","PstI.TP223655",8,61982392,0.000000338397239954255,0.0773900468369081,-0.0582256037488515,0.00126821617042285,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"92","NsiI.TP652320",10,54138549,0.0000122533988318149,0.10624418832576,-0.0313708758203697,0.0384724857087687,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"93","PstI.TP1071296",11,7466,0.00000000136357591199116,0.290068725428328,-0.0396874472494448,0.00000894301261879402,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_1"
"94","NsiI.TP632002",1,70863814,0.0000000000000038765459996935,0.220740537148694,0.266185358665259,0.0000000000797339185436042,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_50"
"95","NsiI.TP550070",7,64164608,0.000000692626171464074,0.247119704072139,-0.144392287662564,0.00605678499406284,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_50"
"96","NsiI.TP728788",11,18071,0.00000000000000607867031665809,0.130354195611884,-0.372747495007534,0.0000000000797339185436042,"124+36088im","PS_N","FarmCPU","FarmCPU","FD_50"
"97","PstI.TP319062",11,2525,0.000000000000132420218575473,0.135577207342298,-0.0340510139721155,0.00000000347391201410896,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_1"
"98","PstI.TP91211",1,10530796,0.00000135983841510882,0.156468559366171,0.0070465963286004,0.00713480019639296,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"99","NsiI.TP632002",1,70863814,0.0000000000000154380788922014,0.220740537148694,0.0121068297821459,0.000000000202501280829006,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"100","NsiI.TP336953",8,58340502,0.00000886255253077417,0.305531698239506,-0.00446755071049353,0.0387500338487216,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"101","NsiI.TP784627",9,34120871,0.000000336369621481033,0.325285672417945,0.00656523427487662,0.00220608016248335,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"102","PstI.TP666628",10,312922,0.00000030235429229703,0.372549019607843,-0.00918759444818319,0.00220608016248335,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"103","NsiI.TP321836",10,43096218,0.0000132596067387113,0.140823314214071,-0.00776679020397874,0.0496932175976217,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"104","NsiI.TP728788",11,18071,0.00000000000000000215185174951851,0.130354195611884,-0.0210529657245838,0.0000000000000564516787968686,"124+36088im","PS_N","FarmCPU","FarmCPU","FM_50"
"105","PstI.TP1226590",1,75797707,0.000000263129611896111,0.166666666666667,-0.851182468868571,0.00172573555962064,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"106","NsiI.TP130539",2,59242986,0.000000649123185095483,0.0568585726766399,1.71080257104224,0.00340581952755898,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"107","NsiI.TP563229",3,13084031,0.000000000819728042408214,0.193163963753988,0.936139747371073,0.0000215047454645371,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"108","PstI.TP773343",6,31243845,0.0000035893394310585,0.0851305529477887,0.972197662277494,0.0134518186620555,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"109","NsiI.TP234967",6,50238765,0.00000790077211990496,0.112338015495989,0.709152902938221,0.0259086069741983,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"110","NsiI.TP631452",10,52286358,0.00000000593688438400552,0.0989601576413076,-0.964997329359787,0.0000778741124650004,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"111","PstI.TP207203",11,1694,0.00000215513655920894,0.189116162922668,0.554737984864456,0.00942297541571455,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"112","PstI.TP1221905",11,8607,0.0000000145709629482835,0.0775534596299514,-1.07422011680865,0.00012741821399509,"124+36088im","PS_N","FarmCPU","FarmCPU","FNMain"
"113","PstI.TP1204396",1,13845263,0.00000116068027113387,0.0738822361355176,0.00429230470974385,0.00608985724658519,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"114","NsiI.TP789014",1,28276920,0.0000000000129320983592793,0.138694045351621,0.00680003814144483,0.000000339260668357333,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"115","PstI.TP477722",1,65237049,0.00000854298026087694,0.233637030991003,-0.00302841646472014,0.0280145680204807,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"116","NsiI.TP208710",1,66025194,0.0000150711450827135,0.116777649702968,0.00370428579270565,0.0395376420099906,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"117","NsiI.TP632002",1,70863814,0.0000000114706358885235,0.220740537148694,0.0036261112544579,0.000150460330949763,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"118","NsiI.TP51047",2,13453548,0.00000721993527497075,0.379602360939546,0.00248984690924596,0.0270582545719404,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"119","PstI.TP985315",2,59277191,0.000000626978331763498,0.0525448357306081,-0.00656350246171174,0.00482434089256903,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"120","NsiI.TP455424",2,62269512,0.0000113251495205268,0.0848099957573494,0.00339274982829881,0.0330115525023889,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"121","NsiI.TP694884",3,6382094,0.0000184726211056598,0.176099125587892,-0.00874511726651728,0.0440555220078072,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"122","PstI.TP114049",3,56021694,0.0000031352478822457,0.053229120715541,-0.00757951474131903,0.0137083488238056,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"123","PstI.TP1029976",10,44209597,0.00002202765788994,0.397127973654572,0.00204032377155992,0.0481561314237238,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"124","NsiI.TP792944",11,18848,0.000000735586017011364,0.3475582232786,0.00273118475026832,0.00482434089256903,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_1"
"125","NsiI.TP632002",1,70863814,0.0000000000000000213848202619257,0.220740537148694,0.0374176456267843,0.000000000000561009374751359,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_50"
"126","PstI.TP29028",6,45093133,0.00000751910375445652,0.20320964146933,-0.0139665476564448,0.0493140419736031,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_50"
"127","NsiI.TP550070",7,64164608,0.00000230858532031016,0.247119704072139,-0.0178381396549016,0.0201878090976722,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_50"
"128","NsiI.TP728788",11,18071,0.00000000000000239722689903772,0.130354195611884,-0.0491981564242568,0.0000000000314444252346778,"124+36088im","PS_N","FarmCPU","FarmCPU","FW_50"
"129","NsiI.TP632002",1,70863814,0.00000000000000000103672178767088,0.220740537148694,0.0116419625747455,0.0000000000000271973593777579,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_1"
"130","NsiI.TP520722",10,4380167,0.00000501717400467318,0.171564372724073,0.00375516605738187,0.0438735142795321,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_1"
"131","NsiI.TP728788",11,18071,0.0000000000000208089536454887,0.130354195611884,-0.0143657677747238,0.000000000272951044967875,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_1"
"132","NsiI.TP212267",1,1974353,0.0000000145294349517021,0.302478122174218,-0.0105669389425441,0.0000952912991307382,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"133","PstI.TP776099",1,18880730,0.00000369597851993162,0.170149237807185,-0.00952709047919858,0.016160050081981,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"134","NsiI.TP632002",1,70863814,0.000000000000000000917339581807248,0.220740537148694,0.0223649395433498,0.0000000000000120327432945657,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"135","PstI.TP427104",2,49743751,0.00000148878947557421,0.102654670834665,-0.0106980025267975,0.00781138062044277,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"136","NsiI.TP602190",2,69281568,0.0000000000342082819803498,0.468434335450687,0.0128287633692688,0.000000299140023157499,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"137","NsiI.TP814761",9,9994604,0.0000112847416747914,0.412810670006789,0.00600430196275962,0.0422919875852111,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"138","NsiI.TP728788",11,18071,0.0000000000000000000142092338469203,0.130354195611884,-0.0349254189239933,0.000000000000000372765040740107,"124+36088im","PS_N","FarmCPU","FarmCPU","GFW_50"
"139","NsiI.TP789014",1,28276920,0.0000000000000295069969280619,0.138694045351621,0.0138088965427159,0.000000000774086557410776,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"140","PstI.TP477722",1,65237049,0.0000000000000640932601958248,0.233637030991003,-0.00927935478496648,0.000000000840711293988634,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"141","NsiI.TP632002",1,70863814,0.0000000000801585421544535,0.220740537148694,0.00719017637857064,0.000000700959731626644,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"142","NsiI.TP51047",2,13453548,0.0000000174458290160473,0.379602360939546,0.00570664971934599,0.0000871431894722614,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"143","PstI.TP114049",3,56021694,0.0000000335837523175556,0.053229120715541,-0.0161287178395369,0.000110129519787344,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"144","PstI.TP29028",6,45093133,0.00000645721092442676,0.20320964146933,-0.00518328582341641,0.0188220523768235,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"145","NsiI.TP675623",6,46224826,0.000000028676736832616,0.159038882339635,0.00764128814366307,0.000107472216295264,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"146","PstI.TP223655",8,61982392,0.0000000199305914779892,0.0773900468369081,-0.0101217201628932,0.0000871431894722614,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"147","PstI.TP1071296",11,7466,0.00000000143534589545145,0.290068725428328,-0.00627804352854952,0.00000941371605531833,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_1"
"148","NsiI.TP212267",1,1974353,0.00000335226351551293,0.302478122174218,-0.012216524828008,0.0175886562131932,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_50"
"149","NsiI.TP632002",1,70863814,0.0000000000000000557479820880831,0.220740537148694,0.0304243503466265,0.000000000000731246281049386,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_50"
"150","NsiI.TP602190",2,69281568,0.00000101699122510327,0.468434335450687,0.0122390522452067,0.00833703032690707,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_50"
"151","NsiI.TP222605",7,1240431,0.00000642183193995603,0.178580271473575,0.0165296210050247,0.0280783898521344,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_50"
"152","NsiI.TP784627",9,34120871,0.00000127117943537502,0.325285672417945,0.0146480015486044,0.00833703032690707,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_50"
"153","NsiI.TP728788",11,18071,0.00000000000000000089935650818691,0.130354195611884,-0.0484770329585857,0.0000000000000235937186357754,"124+36088im","PS_N","FarmCPU","FarmCPU","GHW_50"
"154","PstI.TP374675",1,69016680,0.0000000000105483587609699,0.0866485293560049,-0.390853121660972,0.0000000691814109338211,"124+36088im","PS_N","FarmCPU","FarmCPU","GS"
"155","PstI.TP509948",2,6460419,0.00000000372934900341304,0.147918004253415,0.15680623409894,0.0000139765345365054,"124+36088im","PS_N","FarmCPU","FarmCPU","GS"
"156","PstI.TP325669",4,67124681,0.000000131413613701074,0.469478634169223,0.0918912931270769,0.000383056082425997,"124+36088im","PS_N","FarmCPU","FarmCPU","GS"
