"","SNP","Chromosome","Position","Trait.name","Method","QTN.effect","LOD.score","PVE","MAF","Genotype.for.code.1","Var_error","Var_phen..total.","Software","Ind.SNP","PS","P.value"
"14","NsiI.TP495572",11,15165,"HW_50","pLARmEB",0.0131,6.4945,10.8395,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000453210538548104
"15","NsiI.TP30868",1,51136397,"HW_50","ISIS EM-BLASSO",-0.0123,3.5696,2.1402,0.0991,"G",0.0004,0.0014,"mrMLMM","F116+36088im","PS_Y",0.0000502689715369067
"16","PstI.TP133136",5,65324990,"HW_50","ISIS EM-BLASSO",0.0147,6.6071,5.8505,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000346896565446054
"17","PstI.TP125419",10,50424324,"HW_50","ISIS EM-BLASSO",-0.0101,3.0872,2.3324,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000162929603263972
"18","NsiI.TP495572",11,15165,"HW_50","ISIS EM-BLASSO",0.0122,5.058,10.2443,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000139155379484467
"19","NsiI.TP524956",11,15612,"HW_50","ISIS EM-BLASSO",-0.0096,3.6808,5.0801,0.2974,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000383795607523298
"20","NsiI.TP388861",4,53760575,"FW_50","mrMLM",-0.0215,3.011,14.52,0.1974,"A",0.0008,0.0027,"mrMLMM","F116+36088im","PS_Y",0.000196336027683605
"21","PstI.TP133136",5,65324990,"FW_50","mrMLM",0.0269,5.6692,9.8308,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000323072505689288
"22","PstI.TP532426",7,64966356,"FW_50","mrMLM",0.0153,4.1972,6.934,0.4561,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000110077865589407
"23","PstI.TP1107958",9,50254652,"FW_50","mrMLM",0.0563,3.5195,15.4481,0.0175,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000567806029548664
"24","PstI.TP898128",9,54591637,"FW_50","FASTmrMLM",0.0141,3.2771,7.0968,0.2198,"A",0.0008,0.0027,"mrMLMM","F116+36088im","PS_Y",0.000102447178031038
"25","PstI.TP115244",11,953,"FW_50","FASTmrMLM",0.0185,4.3036,8.687,0.4397,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000851726186645918
"26","PstI.TP187918",11,1532,"FW_50","FASTmrMLM",0.0137,4.0158,6.0083,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000017056895942394
"27","NsiI.TP495572",11,15165,"FW_50","FASTmrMLM",0.0148,3.4654,7.5084,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000064758980046495
"28","PstI.TP325669",4,67124681,"FW_50","pLARmEB",0.0153,4.5189,6.2991,0.3233,"A",0.0007,0.0027,"mrMLMM","F116+36088im","PS_Y",0.00000507341046037298
"29","PstI.TP133136",5,65324990,"FW_50","pLARmEB",0.0164,3.2481,3.4463,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000109951206687935
"30","PstI.TP187918",11,1532,"FW_50","pLARmEB",0.0137,3.4391,5.6358,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000690398755727844
"31","PstI.TP874146",11,6098,"FW_50","pLARmEB",0.025,3.749,8.5808,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000325237040095297
"32","NsiI.TP495572",11,15165,"FW_50","pLARmEB",0.0174,5.3705,9.8081,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000659173895244321
"33","PstI.TP133136",5,65324990,"FW_50","ISIS EM-BLASSO",0.0187,5.8357,4.7685,0.194,"C",0.0008,0.0027,"mrMLMM","F116+36088im","PS_Y",0.000000217220095352193
"34","PstI.TP125419",10,50424324,"FW_50","ISIS EM-BLASSO",-0.0178,4.7191,3.6634,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000313617291651299
"35","NsiI.TP30868",1,51136397,"GHW_1","mrMLM",-0.0082,3.7396,5.0473,0.1009,"G",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.0000332736159806162
"36","NsiI.TP766568",1,13943502,"GHW_1","mrMLM",-0.0062,5.8158,13.0326,0.4693,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000227771824185732
"37","PstI.TP513949",3,61369495,"GHW_1","mrMLM",0.0045,3.0115,7.8314,0.3421,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000196110117547605
"38","NsiI.TP388861",4,53760575,"GHW_1","mrMLM",-0.006,5.0673,11.7103,0.1974,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000136113123433131
"39","PstI.TP133136",5,65324990,"GHW_1","mrMLM",0.0078,8.6047,8.514,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000000307751373590787
"40","PstI.TP532426",7,64966356,"GHW_1","mrMLM",0.0044,3.3104,5.9875,0.4561,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000944495732507707
"41","PstI.TP133136",5,65324990,"GHW_1","FASTmrMLM",0.004,3.1089,2.2991,0.194,"C",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.000154489867251544
"42","PstI.TP125419",10,50424324,"GHW_1","FASTmrMLM",-0.0044,3.508,2.3748,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00005838482731072
"43","NsiI.TP767179",11,18585,"GHW_1","FASTmrMLM",0.0057,3.5936,12.1744,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000474241985260245
"44","PstI.TP133136",5,65324990,"GHW_1","pLARmEB",0.0051,5.7478,3.5661,0.194,"C",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.000000267855149453233
"45","PstI.TP1282314",9,15059279,"GHW_1","pLARmEB",0.0049,5.9582,8.7486,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000162255714050954
"46","PstI.TP607810",11,4293,"GHW_1","pLARmEB",-0.003,3.3567,3.2592,0.1422,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000843723217211829
"47","NsiI.TP493263",11,15110,"GHW_1","pLARmEB",-0.0046,5.4086,7.0151,0.1767,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000601727694025024
"48","NsiI.TP767179",11,18585,"GHW_1","pLARmEB",0.0056,5.497,11.5103,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000487191833643679
"49","PstI.TP133136",5,65324990,"GHW_1","ISIS EM-BLASSO",0.0044,3.1813,2.7341,0.194,"C",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.000129449387536629
"50","PstI.TP1282314",9,15059279,"GHW_1","ISIS EM-BLASSO",0.0048,5.3978,8.6635,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000617447448050682
"51","PstI.TP125419",10,50424324,"GHW_1","ISIS EM-BLASSO",-0.0041,4.0917,2.0389,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000141971117232527
"52","PstI.TP1177996",11,8302,"GHW_1","ISIS EM-BLASSO",0.0054,4.1518,2.1504,0.1552,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000122800461798879
"53","NsiI.TP156555",11,10854,"GHW_1","ISIS EM-BLASSO",-0.0048,5.5435,5.8745,0.2802,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000436013564000399
"54","NsiI.TP767179",11,18585,"GHW_1","ISIS EM-BLASSO",0.0057,7.0884,12.1678,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000110789856537429
"55","PstI.TP277421",1,17621133,"GFW_1","mrMLM",0.0078,3.7175,16.295,0.2456,"C",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.000035107507718483
"56","PstI.TP133136",5,65324990,"GFW_1","mrMLM",0.0087,7.4084,11.0401,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000000519278091540884
"57","PstI.TP852912",6,60106545,"GFW_1","mrMLM",0.0084,3.2294,25.4855,0.136,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000115106540103597
"58","PstI.TP661215",3,54129611,"GFW_1","FASTmrMLM",0.0027,3.0363,2.9186,0.2198,"A",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.00018454402985937
"59","NsiI.TP469438",6,52124718,"GFW_1","FASTmrMLM",-0.0024,3.5779,1.4356,0.056,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000492606343349577
"60","PstI.TP1282314",9,15059279,"GFW_1","FASTmrMLM",0.0037,5.2438,5.1831,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000892277619587827
"61","PstI.TP125419",10,50424324,"GFW_1","FASTmrMLM",-0.005,7.6204,3.1102,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000000314485046547696
"62","PstI.TP219629",11,1793,"GFW_1","FASTmrMLM",0.0056,5.6798,2.0718,0.125,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000314992345278448
"63","PstI.TP1020545",11,7078,"GFW_1","FASTmrMLM",0.0044,4.6095,6.5346,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000408037426689669
"64","NsiI.TP276353",11,12193,"GFW_1","FASTmrMLM",0.0025,3.9117,1.2439,0.2026,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000219381499189791
"65","NsiI.TP767179",11,18585,"GFW_1","FASTmrMLM",0.0059,5.218,13.4278,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000949073833896476
"66","PstI.TP1280528",1,5674758,"GFW_1","pLARmEB",0.0037,3.1431,1.9837,0.1638,"A",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.000142101937699601
"67","PstI.TP133136",5,65324990,"GFW_1","pLARmEB",0.0042,5.8594,2.3639,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000205305223927947
"68","PstI.TP874146",11,6098,"GFW_1","pLARmEB",0.0088,3.7952,11.3979,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000290803748273531
"69","NsiI.TP767179",11,18585,"GFW_1","pLARmEB",0.0048,3.7947,8.4139,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000029120578615297
"70","NsiI.TP30868",1,51136397,"GFW_1","ISIS EM-BLASSO",-0.0046,3.5922,1.6535,0.0991,"G",0.0001,0.0003,"mrMLMM","F116+36088im","PS_Y",0.0000475773227541204
"71","PstI.TP133136",5,65324990,"GFW_1","ISIS EM-BLASSO",0.0054,5.2286,4.2238,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000925337153477778
"72","PstI.TP125419",10,50424324,"GFW_1","ISIS EM-BLASSO",-0.0036,3.6861,1.6053,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000378878533748437
"73","NsiI.TP495572",11,15165,"GFW_1","ISIS EM-BLASSO",0.0039,3.4218,5.7263,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000072011192024979
"74","NsiI.TP524956",11,15612,"GFW_1","ISIS EM-BLASSO",-0.0041,5.2982,5.1618,0.2974,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000783429642766212
"75","NsiI.TP767179",11,18585,"GFW_1","ISIS EM-BLASSO",0.0035,3.2264,4.6963,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000115931111574166
"76","NsiI.TP30868",1,51136397,"GHW_50","mrMLM",-0.0267,3.147,8.286,0.1009,"G",0.0005,0.0017,"mrMLMM","F116+36088im","PS_Y",0.000140766722836226
"77","NsiI.TP766568",1,13943502,"GHW_50","mrMLM",-0.0185,3.6666,17.7745,0.4693,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000397191549469441
"78","PstI.TP133136",5,65324990,"GHW_50","mrMLM",0.0181,6.9961,7.2058,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000137879595296886
"79","PstI.TP572438",3,71178778,"GHW_50","FASTmrMLM",-0.0116,3.1534,2.2748,0.125,"A",0.0006,0.0017,"mrMLMM","F116+36088im","PS_Y",0.000138579822266568
"80","PstI.TP133136",5,65324990,"GHW_50","FASTmrMLM",0.015,4.6866,4.9655,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000339078302251927
"81","NsiI.TP614958",6,45639721,"GHW_50","FASTmrMLM",-0.0119,3.1304,1.6566,0.0905,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000146588533467099
"82","PstI.TP852912",6,60106545,"GHW_50","FASTmrMLM",0.0167,5.3472,15.323,0.1336,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000696786936762077
"83","PstI.TP513949",3,61369495,"GHW_50","pLARmEB",0.011,3.2733,6.5243,0.3448,"A",0.0005,0.0017,"mrMLMM","F116+36088im","PS_Y",0.000103395110098237
"84","PstI.TP133136",5,65324990,"GHW_50","pLARmEB",0.0118,3.815,2.7648,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000027720432375777
"85","NsiI.TP495572",11,15165,"GHW_50","pLARmEB",0.0115,5.4688,6.6606,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000052119471110508
"86","NsiI.TP441453",3,57267022,"GHW_50","ISIS EM-BLASSO",-0.0103,3.6239,5.2951,0.1767,"C",0.0004,0.0017,"mrMLMM","F116+36088im","PS_Y",0.0000440554863506553
"87","NsiI.TP388861",4,53760575,"GHW_50","ISIS EM-BLASSO",-0.014,5.1734,9.8729,0.194,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000105584459243008
"88","PstI.TP133136",5,65324990,"GHW_50","ISIS EM-BLASSO",0.0194,9.5669,8.2372,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000000319153785510076
"89","PstI.TP532426",7,64966356,"GHW_50","ISIS EM-BLASSO",0.0129,6.6372,7.9992,0.4655,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000322998124059562
"90","PstI.TP1282314",9,15059279,"GHW_50","ISIS EM-BLASSO",0.0088,3.5721,4.4554,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000499574198175964
"91","PstI.TP187918",11,1532,"GHW_50","ISIS EM-BLASSO",0.0098,3.586,4.9782,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000483058802039773
"92","NsiI.TP495572",11,15165,"GHW_50","ISIS EM-BLASSO",0.0108,4.8129,6.4617,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000250380210375374
"93","PstI.TP277421",1,17621133,"GFW_50","mrMLM",0.0095,3.5689,6.4466,0.2456,"C",0.0002,0.0009,"mrMLMM","F116+36088im","PS_Y",0.0000503500608787905
"94","NsiI.TP772099",3,52480890,"GFW_50","mrMLM",-0.0126,4.5305,13.7893,0.0921,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000493400971187958
"95","PstI.TP242436",4,2670410,"GFW_50","mrMLM",-0.0088,4.3927,5.3832,0.3026,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000687226661584249
"96","PstI.TP133136",5,65324990,"GFW_50","mrMLM",0.0137,7.2214,7.394,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000000808537188525547
"97","PstI.TP532426",7,64966356,"GFW_50","mrMLM",0.0085,4.2649,6.2835,0.4561,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000009349750030886
"98","PstI.TP1107958",9,50254652,"GFW_50","mrMLM",0.0426,6.6098,25.6353,0.0175,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000344667234871789
"99","NsiI.TP496851",3,61267172,"GFW_50","FASTmrMLM",-0.0117,4.8688,3.7518,0.1164,"C",0.0003,0.0009,"mrMLMM","F116+36088im","PS_Y",0.00000218977755509858
"100","PstI.TP133136",5,65324990,"GFW_50","FASTmrMLM",0.0126,7.0069,6.2602,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000134400226308216
"101","PstI.TP115244",11,953,"GFW_50","FASTmrMLM",0.0115,6.361,9.774,0.4397,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000622443591603289
"102","PstI.TP187918",11,1532,"GFW_50","FASTmrMLM",0.0065,3.7428,3.903,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000330217435267076
"103","PstI.TP325669",4,67124681,"GFW_50","pLARmEB",0.0098,6.383,7.8459,0.3233,"A",0.0002,0.0009,"mrMLMM","F116+36088im","PS_Y",0.0000000590744925867226
"104","PstI.TP133136",5,65324990,"GFW_50","pLARmEB",0.0103,4.4398,4.106,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000613620697509689
"105","PstI.TP187918",11,1532,"GFW_50","pLARmEB",0.0078,3.072,5.5536,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000169121958773965
"106","NsiI.TP495572",11,15165,"GFW_50","pLARmEB",0.0112,6.0337,12.2752,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000135550149217308
"107","NsiI.TP30868",1,51136397,"GFW_50","ISIS EM-BLASSO",-0.0122,3.6002,3.1077,0.0991,"G",0.0003,0.0009,"mrMLMM","F116+36088im","PS_Y",0.0000466659380314288
"108","PstI.TP8376",4,59384691,"GFW_50","ISIS EM-BLASSO",0.0124,3.3203,14.7268,0.2026,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000922146665124265
"109","PstI.TP133136",5,65324990,"GFW_50","ISIS EM-BLASSO",0.0109,3.8443,4.6594,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000025822601906346
"110","PstI.TP125419",10,50424324,"GFW_50","ISIS EM-BLASSO",-0.0077,3.7894,1.9671,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000294917130750827
"111","PstI.TP693499",11,4804,"GFW_50","ISIS EM-BLASSO",-0.0097,3.7482,1.9499,0.0776,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000325911736313484
"112","NsiI.TP30868",1,51136397,"HM_1","mrMLM",-0.0573,6.513,10.1468,0.1009,"G",0.0018,0.0064,"mrMLMM","F116+36088im","PS_Y",0.0000000433710563500441
"113","NsiI.TP766568",1,13943502,"HM_1","mrMLM",-0.0331,4.772,15.177,0.4693,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000276184944207529
"114","NsiI.TP388861",4,53760575,"HM_1","mrMLM",-0.0279,4.138,10.4903,0.1974,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000126969672678094
"115","PstI.TP133136",5,65324990,"HM_1","mrMLM",0.0336,6.2189,6.589,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000872569442770117
"116","PstI.TP133136",5,65324990,"HM_1","FASTmrMLM",0.0283,4.3721,4.6794,0.194,"C",0.0019,0.0064,"mrMLMM","F116+36088im","PS_Y",0.00000722270704312172
"117","PstI.TP874146",11,6098,"HM_1","FASTmrMLM",0.0187,3.0452,2.1845,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000180592620541615
"118","NsiI.TP406542",11,13590,"HM_1","FASTmrMLM",0.0262,5.5324,5.8925,0.2716,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000447713304176362
"119","NsiI.TP767179",11,18585,"HM_1","FASTmrMLM",0.0258,4.1363,10.3219,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000127497009994371
"120","PstI.TP242436",4,2670410,"HM_1","pLARmEB",-0.0219,4.8376,2.92,0.306,"A",0.002,0.0064,"mrMLMM","F116+36088im","PS_Y",0.00000235993477555164
"121","PstI.TP874146",11,6098,"HM_1","pLARmEB",0.0471,3.7555,8.1581,0.056,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000320184275820278
"122","PstI.TP1020545",11,7078,"HM_1","pLARmEB",0.0188,3.1359,2.8117,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000144643859010688
"123","NsiI.TP495572",11,15165,"HM_1","pLARmEB",0.0218,4.0108,4.1425,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000017262353266051
"124","NsiI.TP767179",11,18585,"HM_1","pLARmEB",0.031,5.1893,8.7994,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000010164827197221
"125","PstI.TP661215",3,54129611,"HM_1","ISIS EM-BLASSO",0.0248,4.391,9.5794,0.2198,"A",0.0014,0.0064,"mrMLMM","F116+36088im","PS_Y",0.00000690080888548451
"126","PstI.TP133136",5,65324990,"HM_1","ISIS EM-BLASSO",0.0175,3.2516,1.7906,0.194,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000109018449238513
"127","PstI.TP1282314",9,15059279,"HM_1","ISIS EM-BLASSO",0.0162,3.7949,4.0294,0.1595,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000291004697783771
"128","PstI.TP125419",10,50424324,"HM_1","ISIS EM-BLASSO",-0.024,5.3604,2.8659,0.2241,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000675149577160642
"129","PstI.TP219629",11,1793,"HM_1","ISIS EM-BLASSO",0.0299,3.817,2.3236,0.125,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000275867157507639
"130","PstI.TP1020545",11,7078,"HM_1","ISIS EM-BLASSO",0.026,8.6554,9.1081,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000000273086354512082
"131","NsiI.TP156555",11,10854,"HM_1","ISIS EM-BLASSO",-0.0217,5.3463,4.8717,0.2802,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000698393196540885
"132","NsiI.TP767179",11,18585,"HM_1","ISIS EM-BLASSO",0.0326,9.1761,16.5679,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000000008007556285067
"133","NsiI.TP766568",1,13943502,"FM_1","mrMLM",-0.0151,3.8287,12.7668,0.4693,"C",0.0004,0.0016,"mrMLMM","F116+36088im","PS_Y",0.0000268163706676073
"134","PstI.TP208292",2,66325675,"FM_1","mrMLM",-0.0178,4.2304,19.3085,0.307,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000101601471989976
"135","NsiI.TP772099",3,52480890,"FM_1","mrMLM",-0.0202,4.9659,21.0667,0.0921,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000173500208088157
"136","PstI.TP133136",5,65324990,"FM_1","mrMLM",0.0165,6.9371,6.416,0.193,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000000158562323083355
"137","PstI.TP794382",6,14220994,"FM_1","mrMLM",-0.0637,3.856,8.79,0.0175,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000251015188099533
"138","PstI.TP532426",7,64966356,"FM_1","mrMLM",0.0107,4.4898,5.8593,0.4561,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000544126653615445
"139","PstI.TP115244",11,953,"FM_1","FASTmrMLM",0.0127,7.3502,7.1179,0.4397,"A",0.0004,0.0016,"mrMLMM","F116+36088im","PS_Y",0.00000000595936519255937
"140","PstI.TP187918",11,1532,"FM_1","FASTmrMLM",0.0133,7.5735,9.8101,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000000351398578235399
"141","PstI.TP714290",11,4942,"FM_1","FASTmrMLM",0.0104,3.5699,6.7673,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000502342589522387
"142","PstI.TP1020545",11,7078,"FM_1","FASTmrMLM",0.0117,5.0128,7.4696,0.3405,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.00000155095786692872
"143","NsiI.TP652578",11,17171,"FM_1","FASTmrMLM",-0.0123,5.1897,9.3567,0.1509,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000010155469355497
"144","NsiI.TP767179",11,18585,"FM_1","FASTmrMLM",0.0196,8.3855,24.2184,0.2328,"A",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.000000000516178605496672
"145","PstI.TP242436",4,2670410,"FM_1","pLARmEB",-0.0088,5.0744,2.0897,0.306,"A",0.0004,0.0016,"mrMLMM","F116+36088im","PS_Y",0.00000133813521515402
"146","PstI.TP187918",11,1532,"FM_1","pLARmEB",0.0087,4.4144,2.7234,0.25,"G",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000065222884246564
"147","PstI.TP714290",11,4942,"FM_1","pLARmEB",0.0085,3.3581,2.9595,0.2328,"C",NA,NA,"mrMLMM","F116+36088im","PS_Y",0.0000840814127170447
