"","SNP","Trait.name","X","Chromosome","Position","P.value","maf","nobs","Rsquare.of.Model.without.SNP","Rsquare.of.Model.with.SNP","FDR_Adjusted_P.values","effect","Adj.P.P.value","Ind.SNP","Method","PS","Software","PVE"
"12","PstI.TP10996","CmN",7558,6,57974096,0.000152448716295675,0.127358490566038,96,NA,NA,0.0419996213394585,NA,0.0419996213394585,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","7.60707109431864"
"13","PstI.TP110898","CmN",7551,10,9880843,0.0000296879711734357,0.0566037735849056,96,NA,NA,0.0227632909344182,NA,0.0227632909344182,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","15.0158264972038"
"14","PstI.TP1148487","CmN",7555,4,48397503,0.0000855411316766283,0.0849056603773585,96,NA,NA,0.0336665453955873,NA,0.0336665453955873,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","2.99811436764728"
"15","PstI.TP120061","GS",7561,8,17255694,0.00000911626168778846,0.0660377358490566,96,NA,NA,0.0150963409026355,NA,0.0150963409026355,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.276775775573256"
"16","PstI.TP1212372","Lg",7563,10,6070004,0.000000328075300832142,0.132075471698113,96,NA,NA,0.000903847453792551,NA,0.000903847453792551,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.290506879595464"
"17","PstI.TP129649","Lg",7574,11,1089,0.000114067229656231,0.136792452830189,96,NA,NA,0.0261879348085765,NA,0.0261879348085764,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","6.92595852792312"
"18","PstI.TP292268","CmN",7550,5,3450082,0.00000486863487961322,0.0754716981132075,96,NA,NA,0.00670654454666721,NA,0.00670654454666721,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","4.39818169354603"
"19","PstI.TP374511","CmDW_g",7547,1,3576636,0.0000204244423389146,0.136792452830189,96,NA,NA,0.0281346693218549,NA,0.0281346693218549,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","1.07561161395084"
"20","PstI.TP411848","CmDW_g",7548,11,3188,0.0000309913652489885,0.476415094339623,96,NA,NA,0.0284604037536544,NA,0.0284604037536544,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","6.888276437114"
"21","PstI.TP411848","CmN",7549,11,3188,0.00000369224494133619,0.476415094339623,96,NA,NA,0.00670654454666721,NA,0.00670654454666721,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","8.71441290098837"
"22","PstI.TP516137","Lg",7572,10,8551151,0.0000996469987948471,0.174528301886792,96,NA,NA,0.0261879348085765,NA,0.0261879348085764,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.0103004720589765"
"23","PstI.TP521834","CmN",7554,4,53924496,0.0000495752252655205,0.0707547169811321,96,NA,NA,0.0227632909344182,NA,0.0227632909344182,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","12.8843452459454"
"24","PstI.TP548709","Lg",7573,2,61335066,0.000112202988274794,0.0660377358490566,96,NA,NA,0.0261879348085765,NA,0.0261879348085764,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","14.2578542836693"
"25","PstI.TP570804","CmN",7559,4,4364673,0.000184988015036107,0.358490566037736,96,NA,NA,0.0447813463690874,NA,0.0447813463690875,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.282305091009728"
"26","PstI.TP629514","CmN",7556,6,40243524,0.000135081716540713,0.089622641509434,96,NA,NA,0.0414971215017825,NA,0.0414971215017826,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","12.8861251757922"
"27","PstI.TP676134","Lg",7577,9,57652835,0.000158319166029812,0.10377358490566,96,NA,NA,0.0290779534941421,NA,0.0290779534941421,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","4.49867477179536"
"28","PstI.TP69823","CmN",7553,1,70805200,0.0000489216274401221,0.254716981132076,96,NA,NA,0.0227632909344182,NA,0.0227632909344182,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","1.89998119129235"
"29","PstI.TP77067","Lg",7567,1,79664579,0.0000251305381533169,0.0518867924528302,96,NA,NA,0.011840387251138,NA,0.011840387251138,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.513660913313633"
"30","PstI.TP775752","CmN",7552,10,41350986,0.0000485171479656737,0.0801886792452831,96,NA,NA,0.0227632909344182,NA,0.0227632909344182,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","2.74825852784519"
"31","PstI.TP77625","Lg",7570,9,53718156,0.0000453916831290524,0.127358490566038,96,NA,NA,0.0156317608775674,NA,0.0156317608775674,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","2.73230969890656"
"32","PstI.TP840235","Lg",7571,3,50897546,0.0000776905678062465,0.174528301886792,96,NA,NA,0.0237819460340232,NA,0.0237819460340232,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","7.04730710531028"
"33","PstI.TP856013","CmDW",7544,11,5962,0.00000476956772023596,0.0613207547169812,96,NA,NA,0.0131401590692501,NA,0.0131401590692501,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.900923322484766"
"34","PstI.TP856013","CmDW_g",7546,11,5962,0.00000714851579727439,0.0613207547169812,96,NA,NA,0.0196941610214909,NA,0.0196941610214909,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.884269069905216"
"35","PstI.TP856013","CmN",7560,11,5962,0.000195054866217441,0.0613207547169812,96,NA,NA,0.0447813463690874,NA,0.0447813463690875,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","3.87510747805469"
"36","PstI.TP856013","Lg",7564,11,5962,0.00000455385625291445,0.0613207547169812,96,NA,NA,0.00627293698838965,NA,0.00627293698838965,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.807129072266518"
"37","PstI.TP964708","Lg",7580,6,55409617,0.000287676771119309,0.0660377358490566,96,NA,NA,0.0440305280240942,NA,0.0440305280240942,"C106+4202","CMLM+SUPER","PS_Y","GAPIT","0.750617308049965"
"38","NsiI.TP274184","Lg",7666,4,1065229,0.000150742586935078,0.0689655172413793,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","11.6719224011839"
"39","NsiI.TP282888","CmN",7652,2,675031,0.000467587065321866,0.0689655172413793,106,NA,NA,0.049353814744723,NA,0.049353814744723,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","1.97746249942525"
"40","NsiI.TP336547","Lg",7658,6,58396661,0.0000796838067606022,0.0948275862068966,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","6.38306941382302"
"41","NsiI.TP338280","CmN",7646,6,53961287,0.000287517044376363,0.452586206896552,106,NA,NA,0.0425524850837476,NA,0.0425524850837476,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","0.519979889105737"
"42","NsiI.TP443279","CmN",7639,11,14353,0.0000610916322541312,0.271551724137931,106,NA,NA,0.0182405381491761,NA,0.0182405381491761,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","2.05765941235641"
"43","NsiI.TP48541","Lg",7673,11,9716,0.00035048303643847,0.0560344827586207,106,NA,NA,0.0411038716623117,NA,0.0411038716623117,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","1.9970586912676"
"44","NsiI.TP609151","Lg",7657,5,68282440,0.0000615373276264412,0.0862068965517241,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","6.77437250333015"
"45","NsiI.TP742717","Lg",7670,11,18226,0.000209467465398729,0.310344827586207,106,NA,NA,0.0294790546304477,NA,0.0294790546304478,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","0.372660432969206"
"46","NsiI.TP7588","Lg",7667,2,74438360,0.000158823500968083,0.0862068965517241,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","0.0290783463614619"
"47","PstI.TP1025634","CmN",7647,2,71277610,0.000302362518359173,0.0689655172413793,106,NA,NA,0.0425524850837476,NA,0.0425524850837476,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","10.0083891765019"
"48","PstI.TP1067903","Lg",7660,9,48843269,0.0000854867128686948,0.491379310344828,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","8.4155438758969"
"49","PstI.TP1123778","CmN",7635,2,61958273,0.0000049131134318775,0.0905172413793104,106,NA,NA,0.00345719415156447,NA,0.00345719415156447,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","2.61264512453083"
"50","PstI.TP1225179","CmN",7636,6,56654494,0.0000279858365675866,0.0775862068965517,106,NA,NA,0.0145424150269951,NA,0.0145424150269951,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","3.07566044896455"
"51","PstI.TP123530","CmN",7637,10,7243969,0.0000370552388362627,0.0646551724137931,106,NA,NA,0.0145424150269951,NA,0.0145424150269951,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","6.63246693037593"
"52","PstI.TP1254872","CmN",7645,7,56573064,0.000219381495443311,0.0775862068965517,106,NA,NA,0.0356241797600638,NA,0.0356241797600638,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","9.30257647735234"
"53","PstI.TP19142","Lg",7669,11,155,0.000188917232171773,0.142241379310345,106,NA,NA,0.0284860197939009,NA,0.0284860197939009,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","5.24779076962784"
"54","PstI.TP229079","CmN",7641,11,1881,0.000100423273790187,0.129310344827586,106,NA,NA,0.0223402817221943,NA,0.0223402817221942,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","0.00651156391793805"
"55","PstI.TP26215","CmN",7651,9,583262,0.000440976152067659,0.0517241379310345,106,NA,NA,0.048994771421833,NA,0.0489947714218331,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","10.0606006269949"
"56","PstI.TP285646","CmN",7640,7,59945480,0.0000691256774956935,0.0689655172413793,106,NA,NA,0.0182405381491761,NA,0.0182405381491761,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","3.14764968417704"
"57","PstI.TP292268","CmN",7633,5,3450082,0.0000000258305051971146,0.0775862068965517,106,NA,NA,0.000054528196471109,NA,0.0000545281964711089,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","2.79629268107726"
"58","PstI.TP292777","CmN",7638,7,64227793,0.0000413332497214451,0.0517241379310345,106,NA,NA,0.0145424150269951,NA,0.0145424150269951,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","5.52978078821024"
"59","PstI.TP306248","Lg",7662,4,62016244,0.000145107816359354,0.198275862068966,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","4.60686646542597"
"60","PstI.TP404112","GS",7653,4,61296221,0.000000345316136367853,0.0689655172413793,106,NA,NA,0.000603830394548693,NA,0.000603830394548693,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","21.1301164172935"
"61","PstI.TP411848","CmN",7634,11,3188,0.00000461755394694879,0.461206896551724,106,NA,NA,0.00345719415156447,NA,0.00345719415156447,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","11.4253589635894"
"62","PstI.TP420801","Lg",7671,1,62946889,0.000238216524481184,0.133620689655172,106,NA,NA,0.0314296926987363,NA,0.0314296926987362,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","5.34112973968629"
"63","PstI.TP448143","Lg",7663,9,6230587,0.000149455777487248,0.112068965517241,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","10.1910739789386"
"64","PstI.TP454285","CmN",7649,2,63153549,0.000359520918956359,0.0646551724137931,106,NA,NA,0.0446440388186396,NA,0.0446440388186396,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","1.51698254573915"
"65","PstI.TP478050","GS",7654,3,63462498,0.000000572079956938601,0.0560344827586207,106,NA,NA,0.000603830394548693,NA,0.000603830394548693,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","36.1972798193788"
"66","PstI.TP521628","Lg",7664,11,3899,0.00015013885083699,0.189655172413793,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","1.03883514468926"
"67","PstI.TP532131","CmN",7650,11,3976,0.000402372584782643,0.103448275862069,106,NA,NA,0.0471893625820089,NA,0.0471893625820088,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","12.9168699704335"
"68","PstI.TP532345","CmN",7644,9,38275195,0.000134781437912761,0.0560344827586207,106,NA,NA,0.0237103012861531,NA,0.0237103012861532,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","3.3698426046477"
"69","PstI.TP673057","Lg",7659,3,68094426,0.0000824482677190267,0.103448275862069,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","1.28333608808535"
"70","PstI.TP676134","Lg",7656,9,57652835,0.0000316849056377169,0.103448275862069,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","4.12968799143802"
"71","PstI.TP682522","Lg",7665,2,77263024,0.000150253414587726,0.142241379310345,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","1.52428201199202"
"72","PstI.TP754297","Lg",7661,9,52383960,0.0000973510722833514,0.495689655172414,106,NA,NA,0.0279397008786352,NA,0.0279397008786353,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","8.55033451452671"
"73","PstI.TP77625","Lg",7672,9,53718156,0.000304662303619494,0.125,106,NA,NA,0.0378318895847501,NA,0.0378318895847501,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","2.67154861897626"
"74","PstI.TP794569","CmN",7643,2,3715278,0.000117117412274445,0.0646551724137931,106,NA,NA,0.0224758961192139,NA,0.0224758961192139,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","13.6262690998219"
"75","PstI.TP807213","GS",7655,1,57183105,0.00000805690634934699,0.0948275862068966,106,NA,NA,0.0056693764344905,NA,0.0056693764344905,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","28.1560523533176"
"76","PstI.TP836173","CmN",7642,11,5793,0.000105827956997604,0.172413793103448,106,NA,NA,0.0223402817221943,NA,0.0223402817221942,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","0.0582253846746139"
"77","PstI.TP841498","CmN",7648,5,69228848,0.000344303896018804,0.0991379310344828,106,NA,NA,0.0446440388186396,NA,0.0446440388186396,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","0.26796207465397"
"78","PstI.TP881184","Lg",7668,2,76620224,0.000182356889560608,0.0991379310344828,106,NA,NA,0.0284860197939009,NA,0.0284860197939009,"C116+3293","CMLM+SUPER","PS_Y","GAPIT","10.8558436909516"
"79","NsiI.TP424155","GS",7747,11,13899,0.000464547313995374,0.060483870967742,114,NA,NA,0.0418092582595836,NA,0.0418092582595837,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1.23285610128401"
"80","NsiI.TP482264","GS",7737,1,66520178,0.0000487250327109558,0.0524193548387096,114,NA,NA,0.00896064792481036,NA,0.00896064792481037,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","14.3792868777068"
"81","NsiI.TP48541","Lg",7758,11,9716,0.000223522863020223,0.0604838709677419,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1.47216794856362"
"82","PstI.TP1014210","GS",7736,11,7040,0.0000235620181302899,0.0564516129032258,114,NA,NA,0.00545292419586709,NA,0.00545292419586709,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","40.9481909717691"
"83","PstI.TP1025634","Bcirc_cm",7711,2,71277610,0.0000864819676856402,0.0685483870967742,114,NA,NA,0.0467002625502457,NA,0.0467002625502457,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","10.8472398425751"
"84","PstI.TP1025634","CmN",7726,2,71277610,0.000266277524976604,0.0685483870967742,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","6.53378211223659"
"85","PstI.TP1123778","CmN",7722,2,61958273,0.000224763565686423,0.0967741935483871,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.57096822236261"
"86","PstI.TP1172215","Lg",7762,11,8242,0.00030552087505267,0.0887096774193549,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","2.40864052068817"
"87","PstI.TP1193013","GS",7742,6,60825902,0.000238935439736466,0.100806451612903,114,NA,NA,0.0297750317210058,NA,0.0297750317210058,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.378775554173085"
"88","PstI.TP1212372","Lg",7752,10,6070004,0.00000693319465495894,0.129032258064516,114,NA,NA,0.0112317753410335,NA,0.0112317753410335,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.226610262352507"
"89","PstI.TP1226186","CmN",7728,3,7342289,0.000295569091127948,0.30241935483871,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","2.00324781306281"
"90","PstI.TP133948","GS",7732,4,3870704,0.00000184162364634703,0.407258064516129,114,NA,NA,0.000994476769027398,NA,0.000994476769027396,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","20.889038897962"
"91","PstI.TP190927","GS",7750,3,3236781,0.000648346039551168,0.217741935483871,114,NA,NA,0.049868521819555,NA,0.049868521819555,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","29.9439705515807"
"92","PstI.TP285646","CmN",7716,7,59945480,0.000000664043161564935,0.0685483870967742,114,NA,NA,0.000537874960867597,NA,0.000537874960867597,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","2.54111856536185"
"93","PstI.TP292268","CmN",7715,5,3450082,0.0000002421069781875,0.0887096774193549,114,NA,NA,0.00039221330466375,NA,0.00039221330466375,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.0169065062552492"
"94","PstI.TP292777","CmN",7719,7,64227793,0.0000846750898072873,0.0524193548387096,114,NA,NA,0.0274347290975611,NA,0.0274347290975611,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","5.34604410291305"
"95","PstI.TP318422","Lg",7763,3,54362877,0.00036794716328346,0.487903225806452,114,NA,NA,0.0496728670432672,NA,0.0496728670432671,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.339801836491589"
"96","PstI.TP386967","GS",7743,11,3022,0.0002687457365802,0.0685483870967742,114,NA,NA,0.0310977209471375,NA,0.0310977209471374,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1.45676058257705"
"97","PstI.TP387329","CCirc_cm",7713,9,55961556,0.0000267562400360498,0.185483870967742,109,NA,NA,0.0155706214257052,NA,0.0155706214257051,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","13.4056968175974"
"98","PstI.TP401430","Lg",7754,10,261208,0.0000471046914261274,0.0564516129032258,114,NA,NA,0.0254365333701088,NA,0.0254365333701088,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.732214082377075"
"99","PstI.TP404112","GS",7731,4,61296221,0.000000915842397036847,0.0887096774193549,114,NA,NA,0.000741832341599846,NA,0.000741832341599846,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","23.8905979235537"
"100","PstI.TP409444","CmN",7727,11,3169,0.000280953660435939,0.064516129032258,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1.3212655344925"
"101","PstI.TP411848","CmN",7717,11,3188,0.00000304798813479146,0.439516129032258,114,NA,NA,0.00164591359278739,NA,0.00164591359278739,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","14.4151244186716"
"102","PstI.TP420801","Lg",7757,1,62946889,0.000174118980024107,0.137096774193548,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","4.68883737206048"
"103","PstI.TP433679","Cml_cm",7729,11,3324,0.0000214361705543765,0.137096774193548,114,NA,NA,0.0347265962980899,NA,0.0347265962980899,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1"
"104","PstI.TP460957","GS",7749,2,63153566,0.000625255450298278,0.108870967741935,114,NA,NA,0.049868521819555,NA,0.049868521819555,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","23.2112080580694"
"105","PstI.TP478050","GS",7730,3,63462498,0.000000790044603673356,0.0645161290322581,114,NA,NA,0.000741832341599846,NA,0.000741832341599846,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","37.8005347638058"
"106","PstI.TP516137","Lg",7755,10,8551151,0.0000882989651009068,0.157258064516129,114,NA,NA,0.0357610808658672,NA,0.0357610808658673,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.0608536494944582"
"107","PstI.TP532345","CmN",7720,9,38275195,0.000134707441836675,0.0564516129032258,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","2.00550352952982"
"108","PstI.TP547023","CmN",7724,2,75564773,0.00024114475904306,0.0685483870967742,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.526621427154247"
"109","PstI.TP547023","GS",7739,2,75564773,0.0000558873016835705,0.0685483870967742,114,NA,NA,0.00905374287273843,NA,0.00905374287273842,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.698092827199769"
"110","PstI.TP553319","GS",7748,1,77643893,0.00050405662537268,0.294354838709677,114,NA,NA,0.042977459637039,NA,0.042977459637039,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","29.6244308621203"
"111","PstI.TP55941","CCirc_cm",7712,6,51146867,0.0000115331031539041,0.245967741935484,109,NA,NA,0.0155706214257052,NA,0.0155706214257051,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","3.79457855222281"
"112","PstI.TP593877","GS",7738,9,55077360,0.0000497813773600576,0.060483870967742,114,NA,NA,0.00896064792481036,NA,0.00896064792481037,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","39.3695899056391"
"113","PstI.TP624488","GS",7745,11,4383,0.000403983680972747,0.0524193548387096,114,NA,NA,0.0409033476984906,NA,0.0409033476984906,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","37.6165589445567"
"114","PstI.TP647641","Lg",7756,8,61103675,0.000124016397605456,0.455645161290323,114,NA,NA,0.0401813128241677,NA,0.0401813128241677,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.977191051050685"
"115","PstI.TP663427","Bcirc_cm",7709,1,70529598,0.00000153998511709012,0.0766129032258065,114,NA,NA,0.00249477588968599,NA,0.00249477588968599,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.592505509198985"
"116","PstI.TP673057","Lg",7759,3,68094426,0.00022355841781503,0.0967741935483871,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1.47386191252335"
"117","PstI.TP694159","GS",7734,3,61030989,0.0000222965995441492,0.0766129032258065,114,NA,NA,0.00545292419586709,NA,0.00545292419586709,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","1.47792819758575"
"118","PstI.TP725292","Lg",7760,3,4449847,0.000288155196255832,0.201612903225806,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","2.71869218550761"
"119","PstI.TP770895","CCirc_cm",7714,1,13263569,0.0000288344841216762,0.116935483870968,109,NA,NA,0.0155706214257052,NA,0.0155706214257051,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","5.50874031030899"
"120","PstI.TP770895","Lg",7753,1,13263569,0.0000243562846590196,0.116935483870968,114,NA,NA,0.0197285905738059,NA,0.0197285905738059,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","13.695093828412"
"121","PstI.TP774963","Bcirc_cm",7710,6,1911989,0.0000464447570571668,0.161290322580645,114,NA,NA,0.0376202532163051,NA,0.0376202532163051,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.320494628592238"
"122","PstI.TP77625","Lg",7761,9,53718156,0.00029306964889891,0.129032258064516,114,NA,NA,0.0449948925077568,NA,0.0449948925077569,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","2.16243212721691"
"123","PstI.TP794569","CmN",7718,2,3715278,0.000011555610197523,0.0604838709677419,114,NA,NA,0.00468002212999683,NA,0.00468002212999682,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","12.9225253862723"
"124","PstI.TP807213","GS",7735,1,57183105,0.0000223805101722351,0.120967741935484,114,NA,NA,0.00545292419586709,NA,0.00545292419586709,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","41.6259933352562"
"125","PstI.TP836173","CmN",7721,11,5793,0.000201988724076796,0.181451612903226,114,NA,NA,0.0342015662590911,NA,0.0342015662590911,"C124+2560","CMLM+SUPER","PS_Y","GAPIT","0.119384399235386"
